,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.8037095639943741,0.5099843819723338,0.624010374010374,0.5501997881763913,0.7365702291017586,17928.0
Industrial or commercial units,0.654368932038835,0.24002849002849003,0.3512245961438249,0.2748328168324906,0.4196280042795072,2808.0
Arable land,0.8093770536381971,0.7575185577942736,0.782589642743676,0.7673517266864035,0.8758804728038715,47150.0
Permanent crops,0.6973886328725039,0.13329418672930124,0.22381069755977323,0.15901926444833628,0.4174912418335394,6812.0
Pastures,0.763595874355368,0.5390980554406288,0.6320027162050735,0.5727774651849767,0.7509934486121023,24170.0
Complex cultivation patterns,0.6660354901536464,0.48018566190810513,0.558043606364172,0.5085676988664529,0.6445486379284002,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6613633307937077,0.46040808685885437,0.5428860480088291,0.49019738109632544,0.6386205937696978,32052.0
Agro-forestry areas,0.7092112136514017,0.5609420190056466,0.626422639187942,0.5854198407451059,0.7196671964792476,7261.0
Broad-leaved forest,0.709235396784136,0.5595956636390272,0.6255916408719434,0.5842495212573953,0.7289914550917717,34130.0
Coniferous forest,0.8144764197395776,0.7531619953455428,0.7826201240668699,0.764675063179306,0.8621651505554538,39532.0
Mixed forest,0.7508004399364536,0.7204099341009826,0.7352913016420125,0.726289607951617,0.7976170045191928,42641.0
Natural grassland and sparsely vegetated areas,0.5709779179810726,0.1939978563772776,0.28959999999999997,0.2235119782662386,0.33251121509387094,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6614310645724258,0.098211972013475,0.17102888086642598,0.11837091635954775,0.41172377536665106,3859.0
"Transitional woodland, shrub",0.6300349087003222,0.5183507773880865,0.5687620259685165,0.5374035135939899,0.6431104399488425,36211.0
"Beaches, dunes, sands",0.47435897435897434,0.334841628959276,0.39257294429708217,0.3557692307692307,0.3467795869291005,221.0
Inland wetlands,0.730259671436142,0.25761824640119646,0.380873410724157,0.29592406476828587,0.44440824834417736,5349.0
Coastal wetlands,0.7162162162162162,0.17096774193548386,0.2760416666666667,0.2016742770167428,0.3043805297009509,310.0
Inland waters,0.8025221180509705,0.7513754095320517,0.7761070140152604,0.7610764645477998,0.8493372762020527,16177.0
Marine waters,0.9544891292103188,0.9402430228041947,0.9473125192162564,0.9430581216748658,0.9826318339654794,18023.0
micro avg,0.7546975432447788,0.6073274924188382,0.6730398553212921,0.6320100569919138,0.7764759414678148,363071.0
macro avg,0.714729070972876,0.47264387832811733,0.5414100972925713,0.49580888112744753,0.6266871758171405,363071.0
weighted avg,0.7459714799581778,0.6073274924188382,0.6601368694506365,0.626486653331106,0.7482726823448894,363071.0
samples avg,0.7814034086136957,0.668118169385986,0.6898274658372698,0.6711141403731925,0.8353382411872955,363071.0
