,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.6540880503144654,0.1575160923892465,0.25389075373817516,0.1857142857142857,0.47146248274432634,2641.0
Discontinuous urban fabric,0.8280371921937264,0.5149974580579563,0.6350350664106884,0.5571214475258143,0.7477799071659352,15736.0
Industrial or commercial units,0.7601351351351351,0.16025641025641027,0.2647058823529412,0.19029093369418135,0.4240956136323998,2808.0
Road and rail networks and associated land,0.21052631578947367,0.00784313725490196,0.015122873345935728,0.009713453132588635,0.0805865686244378,510.0
Port areas,0.8888888888888888,0.2,0.326530612244898,0.2366863905325444,0.4100468568658817,80.0
Airports,0.0,0.0,0.0,0.0,0.0319963610467094,137.0
Mineral extraction sites,0.5555555555555556,0.010460251046025104,0.02053388090349076,0.01301405517959396,0.07740008261497447,478.0
Dump sites,0.0,0.0,0.0,0.0,0.020597327675828076,83.0
Construction sites,0.0,0.0,0.0,0.0,0.009154746909199114,159.0
Green urban areas,0.5106382978723404,0.08275862068965517,0.14243323442136496,0.09942004971002484,0.24508177283059684,290.0
Sport and leisure facilities,0.0,0.0,0.0,0.0,0.06565104356314345,604.0
Non-irrigated arable land,0.7972577784169903,0.7425930474000313,0.7689551134590265,0.7529179532221991,0.8597693446392778,44789.0
Permanently irrigated land,0.5666666666666667,0.01029678982434888,0.02022605591909578,0.012812782634911063,0.2690112596170437,3302.0
Rice fields,0.35802469135802467,0.0445468509984639,0.07923497267759562,0.054003724394785846,0.09690686994884407,651.0
Vineyards,0.4166666666666667,0.0022222222222222222,0.004420866489832007,0.0027740790057700845,0.1180664271432941,2250.0
Fruit trees and berry plantations,0.48148148148148145,0.018518518518518517,0.035665294924554176,0.02292768959435626,0.14926101469292807,702.0
Olive groves,0.3623853211009174,0.07750163505559189,0.12769396551724138,0.09196026695638677,0.23052183015161185,3058.0
Pastures,0.777608111409724,0.5267273479520066,0.6280400572246067,0.5630594770548066,0.7515881858597262,24170.0
Annual crops associated with permanent crops,0.6487804878048781,0.07621776504297995,0.13641025641025642,0.09255393180236604,0.2679244849526506,1745.0
Complex cultivation patterns,0.6694700005644296,0.46263359076371013,0.5471571906354515,0.49310296086273275,0.6391635630889638,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6736425884849069,0.4358542368650942,0.5292669066111005,0.4689619056570838,0.6380987428613821,32052.0
Agro-forestry areas,0.6928094424600093,0.6143781848230271,0.6512408759124086,0.6286108840853366,0.7274028474664382,7261.0
Broad-leaved forest,0.7287915125401406,0.5253149721652505,0.6105463894706373,0.5563830909688992,0.7289369231670257,34130.0
Coniferous forest,0.8171014813177094,0.7479004350905596,0.7809709968830896,0.760786775906789,0.8615211901113505,39532.0
Mixed forest,0.7413712249108985,0.7414929293403063,0.7414320721312243,0.7414685852578654,0.798929257793132,42641.0
Natural grassland,0.5883977900552486,0.15925233644859813,0.25066195939982344,0.18644957983193275,0.3274852018752948,2675.0
Moors and heathland,0.6770186335403726,0.09252971137521222,0.16280806572068707,0.11184075518161295,0.2232810282765661,1178.0
Sclerophyllous vegetation,0.6343692870201096,0.2577051615298923,0.3665170319514127,0.2924321591100624,0.48422052700404394,2693.0
Transitional woodland/shrub,0.6473072467017976,0.47830769655629507,0.5501206962266548,0.5046590637583698,0.6446857948768823,36211.0
"Beaches, dunes, sands",0.6935483870967742,0.19457013574660634,0.303886925795053,0.22727272727272724,0.3615794564488225,221.0
Bare rock,0.4682080924855491,0.18243243243243243,0.26256077795786065,0.2077988712160082,0.25962378558825105,444.0
Sparsely vegetated areas,0.3793103448275862,0.06666666666666667,0.11340206185567012,0.0798258345428157,0.1596968017973723,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.0031903003104325894,36.0
Inland marshes,0.0,0.0,0.0,0.0,0.07557859502987632,1352.0
Peatbogs,0.6714285714285714,0.3623476747077841,0.47068324987885635,0.3990906102771995,0.5116787517569488,4021.0
Salt marshes,0.4956521739130435,0.22007722007722008,0.3048128342245989,0.2476107732406603,0.2784532403719335,259.0
Salines,0.5813953488372093,0.23809523809523808,0.33783783783783783,0.26997840172786175,0.2976054507924127,105.0
Intertidal flats,0.4358974358974359,0.10179640718562874,0.16504854368932037,0.12022630834512024,0.18651335163006993,167.0
Water courses,0.6857923497267759,0.3242894056847545,0.44035087719298244,0.3625072212593876,0.4896823915687603,2322.0
Water bodies,0.8232582875376706,0.6653295128939828,0.7359163299263134,0.6918744971842318,0.8253641620066579,13960.0
Coastal lagoons,0.7916666666666666,0.10951008645533142,0.19240506329113924,0.13231197771587744,0.30569455355019637,347.0
Estuaries,0.5714285714285714,0.0796812749003984,0.13986013986013984,0.09624639076034648,0.21253420988191546,251.0
Sea and ocean,0.9380952380952381,0.9483638030832713,0.9432015731425804,0.9462921451118533,0.9785142512217406,17449.0
micro avg,0.7561661935115254,0.5733855397871125,0.6522119450886904,0.6025134770467668,0.753591846663236,369303.0
macro avg,0.5400628213067825,0.24746477347896786,0.30371133222405916,0.26536516370766017,0.38014736184082043,369303.0
weighted avg,0.7337026388544093,0.5733855397871125,0.630387371431115,0.5937985117422352,0.7227699439576898,369303.0
samples avg,0.7693500097987807,0.6383774385659327,0.6670903350221037,0.6443863928877618,0.8173851834434099,369303.0
