,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.5932203389830508,0.3710715638015903,0.4565571861169345,0.40111329404060253,0.48415527296621824,2641.0
Discontinuous urban fabric,0.7966453071993969,0.5372394509405185,0.6417185365113101,0.5746642014247648,0.7435614271551455,15736.0
Industrial or commercial units,0.611764705882353,0.18518518518518517,0.28430836522689995,0.21519615957622912,0.37542322064474987,2808.0
Road and rail networks and associated land,0.37037037037037035,0.0196078431372549,0.037243947858473,0.024189646831156264,0.07660151306138079,510.0
Port areas,0.8333333333333334,0.125,0.21739130434782608,0.15060240963855423,0.3275611676901851,80.0
Airports,0.0,0.0,0.0,0.0,0.025306210776852377,137.0
Mineral extraction sites,0.42857142857142855,0.043933054393305436,0.07969639468690702,0.05354411014788373,0.08396956889749828,478.0
Dump sites,0.0,0.0,0.0,0.0,0.01127634369108127,83.0
Construction sites,0.0,0.0,0.0,0.0,0.009734146292935536,159.0
Green urban areas,0.36507936507936506,0.07931034482758621,0.13031161473087818,0.09403107113654947,0.18396827305852978,290.0
Sport and leisure facilities,0.1320754716981132,0.011589403973509934,0.0213089802130898,0.014175779667881734,0.05573221793778958,604.0
Non-irrigated arable land,0.8023212192262602,0.7640045546897676,0.7826942211141481,0.7713722802809663,0.8735857062892733,44789.0
Permanently irrigated land,0.5297619047619048,0.08086008479709267,0.14030478192327903,0.09735997666277711,0.2933223174919314,3302.0
Rice fields,0.27611940298507465,0.05683563748079877,0.09426751592356687,0.06756756756756756,0.10574518056904564,651.0
Vineyards,0.6538461538461539,0.007555555555555556,0.014938488576449912,0.009417239087081763,0.1423366652719264,2250.0
Fruit trees and berry plantations,0.3728813559322034,0.18803418803418803,0.25,0.20872865275142313,0.15723771440643858,702.0
Olive groves,0.5555555555555556,0.02779594506213211,0.05294300840859545,0.03431570448122729,0.26858431474008004,3058.0
Pastures,0.7756425098402407,0.5544062887877534,0.6466245234763307,0.5879462248587174,0.7658756301830346,24170.0
Annual crops associated with permanent crops,0.6233333333333333,0.10716332378223496,0.18288508557457211,0.12843406593406592,0.2985541874166202,1745.0
Complex cultivation patterns,0.6578662525295308,0.545245338949996,0.596284684454113,0.5645754073068877,0.6646692958318945,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6581160989422836,0.4930737551478847,0.5637641351264581,0.5191102468762728,0.6546919479217468,32052.0
Agro-forestry areas,0.6677358215483307,0.6307671119680485,0.6487252124645893,0.6378297078238587,0.7206132900517452,7261.0
Broad-leaved forest,0.7464346720692806,0.5505420451215939,0.6336947540596597,0.5810393770911542,0.7514196366208614,34130.0
Coniferous forest,0.8306694981558064,0.7519983810583831,0.7893786510886882,0.7665174611687535,0.8742739976006084,39532.0
Mixed forest,0.7455726495726496,0.7671489880631317,0.7562069443802302,0.762734390665877,0.8143683955948916,42641.0
Natural grassland,0.6872146118721462,0.11252336448598131,0.19338258914230644,0.13512300233435087,0.3175213203853002,2675.0
Moors and heathland,0.5915492957746479,0.07130730050933787,0.1272727272727273,0.0865265760197775,0.2100457851185288,1178.0
Sclerophyllous vegetation,0.5721961047683009,0.3163757890828073,0.40746054519368724,0.34744311230731584,0.4768584826288119,2693.0
Transitional woodland/shrub,0.652163031819807,0.5037419568639364,0.5684236767890809,0.5277639543092575,0.6566479629384826,36211.0
"Beaches, dunes, sands",0.559322033898305,0.2986425339366516,0.3893805309734513,0.32934131736526945,0.34625175339165526,221.0
Bare rock,0.3103448275862069,0.36486486486486486,0.33540372670807456,0.3524804177545692,0.28865972528076156,444.0
Sparsely vegetated areas,0.3563218390804598,0.18787878787878787,0.24603174603174605,0.20749665327978575,0.16838225686253613,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.009343502478961551,36.0
Inland marshes,0.2972972972972973,0.016272189349112426,0.03085553997194951,0.020065669463699382,0.08375328009781119,1352.0
Peatbogs,0.7306573589296103,0.31236010942551606,0.43763066202090595,0.35274953659495595,0.5031000981790029,4021.0
Salt marshes,0.4065934065934066,0.14285714285714285,0.2114285714285714,0.16415261756876662,0.19584877305499013,259.0
Salines,0.0,0.0,0.0,0.0,0.12671915282505522,105.0
Intertidal flats,0.631578947368421,0.0718562874251497,0.12903225806451613,0.08733624454148471,0.17946341277201933,167.0
Water courses,0.6730769230769231,0.3165374677002584,0.43057996485061517,0.35404624277456653,0.48109377199770365,2322.0
Water bodies,0.8195293526505317,0.701002865329513,0.7556465001351299,0.7218837137250853,0.8375565945302942,13960.0
Coastal lagoons,0.6444444444444445,0.16714697406340057,0.2654462242562929,0.19621109607577808,0.29577458271451923,347.0
Estuaries,0.2127659574468085,0.0398406374501992,0.06711409395973154,0.04757373929590866,0.13591608878062897,251.0
Sea and ocean,0.9500659290259703,0.9497392400710643,0.9499025564599335,0.9498045598872064,0.9806169431594369,17449.0
micro avg,0.7532809644730285,0.6016387627503703,0.6689739891789686,0.6268779931507739,0.7646018623951888,369303.0
macro avg,0.514466002582542,0.26677478037328456,0.3154939592912028,0.28242938205390766,0.3733981657990457,369303.0
weighted avg,0.7363406838454486,0.6016387627503703,0.6498929967481369,0.6191231611066564,0.735303685997991,369303.0
samples avg,0.770900260140603,0.666414001259591,0.687295609711115,0.6695916987029922,0.8264406716337352,369303.0
