,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.6805555555555556,0.2411965164710337,0.35616438356164387,0.27695652173913043,0.4838322143640409,2641.0
Discontinuous urban fabric,0.8096275547255939,0.49593289273004576,0.6150935960591133,0.5375914470330517,0.7206351036475267,15736.0
Industrial or commercial units,0.6215864759427828,0.17022792022792022,0.26726306961140617,0.19915007082743105,0.35984496179240116,2808.0
Road and rail networks and associated land,0.3076923076923077,0.00784313725490196,0.015296367112810709,0.00974184120798831,0.07165041601204018,510.0
Port areas,0.8,0.2,0.32000000000000006,0.23529411764705882,0.32784524985079627,80.0
Airports,0.0,0.0,0.0,0.0,0.016389045902062263,137.0
Mineral extraction sites,0.0,0.0,0.0,0.0,0.0395153359984956,478.0
Dump sites,0.0,0.0,0.0,0.0,0.008230481607772604,83.0
Construction sites,0.0,0.0,0.0,0.0,0.011080081655031812,159.0
Green urban areas,0.3220338983050847,0.06551724137931035,0.10888252148997134,0.07793273174733388,0.20545724169590557,290.0
Sport and leisure facilities,0.0,0.0,0.0,0.0,0.053429766054472944,604.0
Non-irrigated arable land,0.8038032945736434,0.7408292214606265,0.7710325436568334,0.7526220762488885,0.8637520368367332,44789.0
Permanently irrigated land,0.5283018867924528,0.025439127801332527,0.048540884137532506,0.03142066282636343,0.25130263395763525,3302.0
Rice fields,0.0,0.0,0.0,0.0,0.08179540660815096,651.0
Vineyards,0.3333333333333333,0.00044444444444444447,0.000887705281846427,0.0005553704320781962,0.11039525803644538,2250.0
Fruit trees and berry plantations,0.46,0.06552706552706553,0.11471321695760599,0.07909215955983494,0.1553051402999327,702.0
Olive groves,0.5670103092783505,0.017985611510791366,0.03486529318541997,0.022305134236353313,0.25611245239678404,3058.0
Pastures,0.7795314124915886,0.5272238311956972,0.6290199175654663,0.5637148645898767,0.7544050992240214,24170.0
Annual crops associated with permanent crops,0.6509803921568628,0.09512893982808023,0.16599999999999998,0.11472011057360054,0.27241817094564164,1745.0
Complex cultivation patterns,0.680013477845791,0.47230673219439895,0.5574404419380827,0.5030367483943868,0.6513780112758589,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.676026541013559,0.4386621739673031,0.5320719016083254,0.47179308215776544,0.6441827952538421,32052.0
Agro-forestry areas,0.7081838373483683,0.5708580085387688,0.6321488485587922,0.5938905923145257,0.7149475554955819,7261.0
Broad-leaved forest,0.7285674941967974,0.5425725168473484,0.621962483416461,0.571765563151102,0.7373398740399871,34130.0
Coniferous forest,0.8130522902310499,0.7610796316907822,0.7862079778407829,0.7709357207648118,0.8680055817316679,39532.0
Mixed forest,0.7565970379661344,0.7356065758307732,0.7459541730579436,0.7397109733895538,0.8101914520366357,42641.0
Natural grassland,0.7217847769028871,0.102803738317757,0.1799738219895288,0.12408627380200345,0.31149415518890516,2675.0
Moors and heathland,0.6484848484848484,0.09083191850594227,0.1593447505584512,0.1096985851958171,0.21799700929543478,1178.0
Sclerophyllous vegetation,0.6160919540229886,0.298551800965466,0.4022011005502752,0.332864121884574,0.4803746944974707,2693.0
Transitional woodland/shrub,0.6429241877256318,0.491811880367844,0.557306254009482,0.5160712629821959,0.6525606978967279,36211.0
"Beaches, dunes, sands",0.5606060606060606,0.167420814479638,0.2578397212543554,0.19473684210526315,0.3090105085953989,221.0
Bare rock,0.4485294117647059,0.1373873873873874,0.21034482758620693,0.15951882845188284,0.24208851408108314,444.0
Sparsely vegetated areas,0.4,0.10909090909090909,0.17142857142857143,0.1276595744680851,0.17120604664256442,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.005386949244188881,36.0
Inland marshes,1.0,0.0036982248520710057,0.007369196757553427,0.0046185109920561605,0.07898746988695737,1352.0
Peatbogs,0.734480639213276,0.2971897537925889,0.4231586402266289,0.33736096211394045,0.4991292111538701,4021.0
Salt marshes,0.8148148148148148,0.08494208494208494,0.15384615384615385,0.10348071495766697,0.2605029119246923,259.0
Salines,0.0,0.0,0.0,0.0,0.24717579929064598,105.0
Intertidal flats,0.75,0.017964071856287425,0.03508771929824561,0.022321428571428575,0.175271863781642,167.0
Water courses,0.6984375,0.1925064599483204,0.30182309250506417,0.22512087026591457,0.4052848211936536,2322.0
Water bodies,0.8145816224108039,0.6394699140401147,0.7164813997351419,0.6681986257279301,0.8049614058413348,13960.0
Coastal lagoons,0.7241379310344828,0.12103746397694524,0.2074074074074074,0.14522821576763487,0.36811291178116046,347.0
Estuaries,0.0,0.0,0.0,0.0,0.18841675311249215,251.0
Sea and ocean,0.9490445859872612,0.9307696716144191,0.939818297552225,0.9343681321842386,0.9783903981706961,17449.0
micro avg,0.7601518053843472,0.5727356669184924,0.6532675267236401,0.6024422047061089,0.755930446885672,369303.0
macro avg,0.5244375681957446,0.22929901588461393,0.28016223906384485,0.24552471484445965,0.3689719415883345,369303.0
weighted avg,0.7395318100934489,0.5727356669184924,0.6306632509354497,0.5935557214192164,0.7248002599179899,369303.0
samples avg,0.7688781833741554,0.6403819418434169,0.6694356933945067,0.6467581974908027,0.8186376086573387,369303.0
