,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.7037037037037037,0.23741007194244604,0.355039637599094,0.2736796158882584,0.5138682501748694,2641.0
Discontinuous urban fabric,0.8151688311688312,0.49860193187595325,0.6187453176136587,0.5405889567170555,0.7301087248605501,15736.0
Industrial or commercial units,0.646112600536193,0.17165242165242164,0.2712436691052335,0.20120220404074135,0.37605514896571807,2808.0
Road and rail networks and associated land,0.35294117647058826,0.011764705882352941,0.022770398481973434,0.014584346135148276,0.07778173890810133,510.0
Port areas,0.75,0.1875,0.3,0.22058823529411764,0.3462828218739287,80.0
Airports,0.0,0.0,0.0,0.0,0.014785330007525882,137.0
Mineral extraction sites,0.0,0.0,0.0,0.0,0.054074131642893035,478.0
Dump sites,0.0,0.0,0.0,0.0,0.01421757271489825,83.0
Construction sites,0.0,0.0,0.0,0.0,0.012539184892848538,159.0
Green urban areas,0.39473684210526316,0.05172413793103448,0.09146341463414634,0.06260434056761269,0.21842326176587334,290.0
Sport and leisure facilities,0.0,0.0,0.0,0.0,0.055862019294151855,604.0
Non-irrigated arable land,0.8072624346816334,0.7450266806581973,0.7748969521044993,0.7566941204216026,0.8689955340749949,44789.0
Permanently irrigated land,0.5746268656716418,0.023319200484554815,0.04481955762514552,0.028856243441762856,0.2647153271663419,3302.0
Rice fields,0.0,0.0,0.0,0.0,0.08657730959286547,651.0
Vineyards,0.16666666666666666,0.00044444444444444447,0.0008865248226950355,0.0005551854319342661,0.12085108288243246,2250.0
Fruit trees and berry plantations,0.5108695652173914,0.06695156695156695,0.11838790931989923,0.0810344827586207,0.160142385611263,702.0
Olive groves,0.5909090909090909,0.017004578155657292,0.03305785123966942,0.021103896103896104,0.26839095798907586,3058.0
Pastures,0.7863400789733465,0.5273065784029789,0.6312843627718064,0.5644975550988591,0.7612357012752854,24170.0
Annual crops associated with permanent crops,0.6396761133603239,0.09054441260744986,0.15863453815261044,0.10931230109312301,0.28175156699884646,1745.0
Complex cultivation patterns,0.6853307873750422,0.47597316483345037,0.5617806831783446,0.5069459445986142,0.6585105059328593,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6822340374574891,0.4443716460751279,0.5381926732037258,0.47768051782540155,0.6505959245092823,32052.0
Agro-forestry areas,0.7130598935987644,0.572235229307258,0.6349327628361859,0.5957672564595222,0.7234018984732014,7261.0
Broad-leaved forest,0.7363650693568726,0.547494872546147,0.6280375088226396,0.5770988782922369,0.7444867783025906,34130.0
Coniferous forest,0.817669834565294,0.7639127795203885,0.7898777218335187,0.7740911817328937,0.8724337345068226,39532.0
Mixed forest,0.7617185602564726,0.7355127694003424,0.748386327029768,0.7406086767609026,0.8142624233140432,42641.0
Natural grassland,0.7188328912466844,0.10130841121495326,0.17758846657929225,0.12232553940597635,0.31666714031609644,2675.0
Moors and heathland,0.6923076923076923,0.09932088285229201,0.17371937639198218,0.11985248924400736,0.23322508683093598,1178.0
Sclerophyllous vegetation,0.6317891373801917,0.29372447085035275,0.40101394169835236,0.32892548236859614,0.4895776652053875,2693.0
Transitional woodland/shrub,0.6476023519959095,0.4896854546960868,0.5576802113473391,0.5147916969081144,0.6567353943483897,36211.0
"Beaches, dunes, sands",0.6349206349206349,0.18099547511312217,0.28169014084507044,0.2111932418162619,0.35768758770559544,221.0
Bare rock,0.4791666666666667,0.1554054054054054,0.2346938775510204,0.1796875,0.259210363840223,444.0
Sparsely vegetated areas,0.375,0.09090909090909091,0.14634146341463414,0.10714285714285716,0.17749335362426705,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.003329217480482465,36.0
Inland marshes,1.0,0.0029585798816568047,0.005899705014749263,0.0036954915003695487,0.09000887112711815,1352.0
Peatbogs,0.7406716417910447,0.2961949763740363,0.4231657488008527,0.33659281030974453,0.5119499381937321,4021.0
Salt marshes,0.8888888888888888,0.09266409266409266,0.16783216783216784,0.11288805268109126,0.2739637706702439,259.0
Salines,0.0,0.0,0.0,0.0,0.2520248596845473,105.0
Intertidal flats,0.5,0.005988023952095809,0.011834319526627219,0.007462686567164179,0.19339371295683097,167.0
Water courses,0.7345132743362832,0.17872523686477174,0.28749567024593004,0.21059575763726782,0.42562267606643434,2322.0
Water bodies,0.8219140589362285,0.6453438395415473,0.7230046948356808,0.6743162527507073,0.8157266857891878,13960.0
Coastal lagoons,0.7230769230769231,0.13544668587896252,0.2281553398058252,0.16173434273916035,0.4198713081795401,347.0
Estuaries,0.5,0.00398406374501992,0.007905138339920948,0.004970178926441352,0.2410127179858065,251.0
Sea and ocean,0.9529425570615502,0.9307696716144191,0.9417256175345008,0.9351213164591945,0.9833327896283065,17449.0
micro avg,0.7658643247085481,0.5747502728112146,0.6566849717688916,0.6049417479546662,0.7625664030885048,369303.0
macro avg,0.5390004388531002,0.22958547800534135,0.2812135741892689,0.24601836360742457,0.3811902896596369,369303.0
weighted avg,0.7453388305348013,0.5747502728112146,0.6338509610620631,0.5959839151267113,0.731507848664443,369303.0
samples avg,0.7730891810110978,0.6422870732517499,0.6723209427045251,0.6490635321660693,0.8231304303757865,369303.0
