,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.24061757385716495,0.9544846050870147,0.3843449941041047,0.5990380104880662,0.5712577542908472,17928.0
Industrial or commercial units,0.20768962713439423,0.6367521367521367,0.31321713234650084,0.4505821279169397,0.3919274469910966,2808.0
Arable land,0.411199342346912,0.9972216330858961,0.5822930598900282,0.7760293913766809,0.7818614774384945,47150.0
Permanent crops,0.1574358187583103,0.9038461538461539,0.26816202090592334,0.46393694616914816,0.35975309880428197,6812.0
Pastures,0.30095167627698116,0.9760446834919322,0.4600518730864487,0.6737667649142046,0.7061603148099169,24170.0
Complex cultivation patterns,0.3012321234747552,0.9850612372259927,0.4613754487243896,0.677473697764377,0.5674695736638845,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.29375732248452474,0.9934793460626482,0.4534392777552313,0.6729090855300138,0.5214748138324566,32052.0
Agro-forestry areas,0.34469411350726387,0.9443602809530368,0.5050452971937837,0.7005946420908515,0.6616807594295077,7261.0
Broad-leaved forest,0.31600653137392115,0.9923234690887782,0.4793602491065425,0.6948849996922383,0.693201434097011,34130.0
Coniferous forest,0.3686543835551556,0.9844429828999292,0.5364273554932218,0.7379225083714774,0.8287019925946127,39532.0
Mixed forest,0.37280466697709563,0.9951220656175981,0.5424064629111222,0.7460484906025283,0.7128773932118723,42641.0
Natural grassland and sparsely vegetated areas,0.15240682058246566,0.721686316541622,0.25166635519840524,0.4130879345603272,0.30330707942471113,2799.0
"Moors, heathland and sclerophyllous vegetation",0.21597434558878364,0.7504534853589012,0.3354181144313181,0.5019934130698561,0.3803901009261812,3859.0
"Transitional woodland, shrub",0.3337653497934713,0.9885393941067632,0.49903805938937684,0.709976080256096,0.5757968779830027,36211.0
"Beaches, dunes, sands",0.0363015823766677,0.5294117647058824,0.06794425087108015,0.14243973703433163,0.08191553366357258,221.0
Inland wetlands,0.1266459488033832,0.7390166386240419,0.21623543569826595,0.37569617365849944,0.34596013693023286,5349.0
Coastal wetlands,0.04842292314526877,0.35161290322580646,0.0851229988285826,0.1561157261529648,0.1272943665747742,310.0
Inland waters,0.29457454658433335,0.937751128144897,0.4483191725157,0.6527201693544222,0.6632354452185185,16177.0
Marine waters,0.7433271781097868,0.9827442712090108,0.8464313875415164,0.9232693911592995,0.9762062053481766,18023.0
micro avg,0.3216728928055027,0.971195716540291,0.48327777990976223,0.6918133985541908,0.6951654445286677,363071.0
macro avg,0.27718220393319154,0.8612818155804233,0.40717362873639695,0.5825518573769645,0.5394985160649027,363071.0
weighted avg,0.34631604471831773,0.971195716540291,0.5031286442413663,0.7019432524532961,0.672068030290896,363071.0
samples avg,0.3230477417288192,0.9760417667668234,0.467173995836326,0.6586613808857988,0.8281291199285655,363071.0
