,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.8086988573534832,0.4895136099955377,0.6098679638637944,0.5314664987161475,0.7245934251011228,17928.0
Industrial or commercial units,0.6121621621621621,0.16132478632478633,0.25535512965050733,0.18919144670898763,0.35606206957879327,2808.0
Arable land,0.805082671295369,0.7672958642629905,0.7857352286424795,0.7745667710041663,0.8771034678804914,47150.0
Permanent crops,0.6628205128205128,0.15179095713446858,0.2470138557095079,0.17946403776728687,0.4117026213594371,6812.0
Pastures,0.7766029384643758,0.5226727347952007,0.6248237999851621,0.5592446014502378,0.7538367295921533,24170.0
Complex cultivation patterns,0.6780232754258728,0.470395506669787,0.555440414507772,0.5010844364669808,0.6486374687695623,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6745710429920956,0.4366654186946212,0.5301515151515152,0.469803163350251,0.6416802096543985,32052.0
Agro-forestry areas,0.704639175257732,0.5647982371574163,0.6270162831587799,0.5881424965580541,0.7158405009163787,7261.0
Broad-leaved forest,0.7270578968097676,0.5408731321418108,0.6202956989247312,0.5700697918596752,0.7375553784693887,34130.0
Coniferous forest,0.8149864498644986,0.7607254882120813,0.7869217081850534,0.7709918575794243,0.8689572397227233,39532.0
Mixed forest,0.7591602776501318,0.7361225111981426,0.7474639234176311,0.7406175233942551,0.8106202821856077,42641.0
Natural grassland and sparsely vegetated areas,0.676923076923077,0.12575919971418364,0.2121120819523953,0.1502219187435985,0.3249322931981692,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6278772378516624,0.2544700699663125,0.3621611654066015,0.2888235294117647,0.43666726191084765,3859.0
"Transitional woodland, shrub",0.6418726834358919,0.4925851260666648,0.55740625,0.516616174196127,0.6511063279138587,36211.0
"Beaches, dunes, sands",0.6666666666666666,0.2081447963800905,0.31724137931034485,0.24134312696747112,0.3354319426512841,221.0
Inland wetlands,0.7507562008469449,0.2320059824266218,0.3544701513853185,0.26920907631567526,0.4363866990590178,5349.0
Coastal wetlands,0.896551724137931,0.08387096774193549,0.15339233038348082,0.1024428684003152,0.30393090187982175,310.0
Inland waters,0.8228047772853602,0.677134202880633,0.7428958969142083,0.7019904897399418,0.822532903146179,16177.0
Marine waters,0.9607595662899432,0.9292015757643012,0.9447170982117674,0.9353462238754285,0.9813404086070076,18023.0
micro avg,0.7633501454080558,0.5986101891916457,0.6710168620240912,0.6256131260794473,0.7786132697742636,363071.0
macro avg,0.7404219575543936,0.45291316671197823,0.5281306249874236,0.47792821223714677,0.623100954294539,363071.0
weighted avg,0.7536135877239597,0.5986101891916457,0.6573203983817483,0.6196921915608865,0.7506035056039283,363071.0
samples avg,0.7852322254279496,0.6630909629515289,0.689943206554126,0.6685032402396058,0.8370575349444717,363071.0
