,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.3752057048820625,0.5179856115107914,0.435183712422459,0.48135116115411686,0.4038942022056827,2641.0
Discontinuous urban fabric,0.5535957350272233,0.6202974072191154,0.5850515463917525,0.6057014495631453,0.587103363989734,15736.0
Industrial or commercial units,0.2365747460087083,0.058048433048433046,0.09322276236774378,0.06836674775606073,0.19681483159758378,2808.0
Road and rail networks and associated land,0.0,0.0,0.0,0.0,0.03708289695540696,510.0
Port areas,0.0,0.0,0.0,0.0,0.19500089238485963,80.0
Airports,0.0,0.0,0.0,0.0,0.011965254157833654,137.0
Mineral extraction sites,0.25333333333333335,0.0397489539748954,0.06871609403254972,0.04781077000503271,0.03932168183140152,478.0
Dump sites,0.0,0.0,0.0,0.0,0.015536490309323497,83.0
Construction sites,0.0,0.0,0.0,0.0,0.007738654916788836,159.0
Green urban areas,0.0,0.0,0.0,0.0,0.10002034106429887,290.0
Sport and leisure facilities,0.3333333333333333,0.0016556291390728477,0.0032948929159802307,0.002066969822240595,0.030052790102196917,604.0
Non-irrigated arable land,0.6451261477805253,0.8329500547009311,0.7271044066343136,0.7871173281009346,0.7780562514858632,44789.0
Permanently irrigated land,0.2777777777777778,0.22410660205935795,0.248072410325176,0.23311491935483872,0.21664413249514433,3302.0
Rice fields,0.23985239852398524,0.09984639016897082,0.14099783080260303,0.11304347826086956,0.09391080424588277,651.0
Vineyards,0.18725099601593626,0.020888888888888887,0.03758496601359456,0.02540265917198141,0.10407023254886158,2250.0
Fruit trees and berry plantations,0.30952380952380953,0.018518518518518517,0.03494623655913978,0.022807017543859647,0.07643672442966817,702.0
Olive groves,0.29411764705882354,0.0735775016350556,0.1177086058069579,0.08655843656228361,0.20017776208814136,3058.0
Pastures,0.5408416609769723,0.7210177906495656,0.6180663923960846,0.6759786504476268,0.6625444503690244,24170.0
Annual crops associated with permanent crops,0.7043478260869566,0.046418338108882524,0.08709677419354839,0.057082452431289635,0.2408173571568995,1745.0
Complex cultivation patterns,0.497557981264512,0.727162805211015,0.5908377834471612,0.6657215703358782,0.5777049002185095,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.43649294954379403,0.7716523149881442,0.5575832722763907,0.6689258996813996,0.5423550391404308,32052.0
Agro-forestry areas,0.5358624777711914,0.7470045448285361,0.6240579876891217,0.6924373180820099,0.6200912274876627,7261.0
Broad-leaved forest,0.5342936354869817,0.7792264869616173,0.6339236764951256,0.7137834414050758,0.6907503752953239,34130.0
Coniferous forest,0.7079406947310204,0.8418749367600931,0.7691205527887871,0.8111816865637447,0.812034970910241,39532.0
Mixed forest,0.6366570319011224,0.8419830679393072,0.7250641193933396,0.7909648083117066,0.7316748680713377,42641.0
Natural grassland,0.22912801484230055,0.36934579439252335,0.28281093459281526,0.3290700772715161,0.25845614012756823,2675.0
Moors and heathland,0.375886524822695,0.13497453310696095,0.19862585883822612,0.15481986368062314,0.16097010291322492,1178.0
Sclerophyllous vegetation,0.45146324054246967,0.46973635350909765,0.4604185623293903,0.46596434359805516,0.41830345158109605,2693.0
Transitional woodland/shrub,0.4807219584469812,0.7884896854546961,0.5972909366664925,0.6989884350610561,0.5464984829776038,36211.0
"Beaches, dunes, sands",0.5294117647058824,0.08144796380090498,0.14117647058823526,0.0980392156862745,0.15723793920754925,221.0
Bare rock,0.08752093802345058,0.47072072072072074,0.1475988700564972,0.2509606147934678,0.054894794266824115,444.0
Sparsely vegetated areas,0.18181818181818182,0.012121212121212121,0.02272727272727273,0.014903129657228018,0.06666485394636937,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.001582364460392585,36.0
Inland marshes,0.0,0.0,0.0,0.0,0.04277819418343498,1352.0
Peatbogs,0.27011494252873564,0.5493658293956727,0.36216083285515205,0.45523864479432863,0.32683748800768864,4021.0
Salt marshes,0.7209302325581395,0.11969111969111969,0.2052980132450331,0.14365152919369786,0.22200848746897678,259.0
Salines,0.75,0.02857142857142857,0.05504587155963303,0.03537735849056604,0.20018358056652555,105.0
Intertidal flats,0.06060606060606061,0.03592814371257485,0.04511278195488721,0.03911342894393742,0.05709141175209247,167.0
Water courses,0.5089686098654709,0.19552110249784668,0.28251400124455506,0.22298624754420435,0.32013713590705234,2322.0
Water bodies,0.4935802009676219,0.7600286532951289,0.5984882671480144,0.6859677252508534,0.5001211948063429,13960.0
Coastal lagoons,0.05228553537883532,0.4812680115273775,0.09432363739056765,0.18223483195111304,0.04602135319115739,347.0
Estuaries,0.019831730769230768,0.13147410358565736,0.034464751958224536,0.061844077961019484,0.02763868837994465,251.0
Sea and ocean,0.9116947746751451,0.9449252106137888,0.9280126076433839,0.9380867309202215,0.969442643360088,17449.0
micro avg,0.5496472464281688,0.7392033100191442,0.6304859192093925,0.6915074705807255,0.6477421770805268,369303.0
macro avg,0.33543368831579695,0.31529242191413726,0.2686907835755863,0.28666658184540134,0.2871783442456287,369303.0
weighted avg,0.5570856338248775,0.7392033100191442,0.6253008697738631,0.6871539209918754,0.6376482752355581,369303.0
samples avg,0.5778297845742588,0.7855772352002469,0.6233246699921663,0.6963972924521553,0.8204134128998193,369303.0
