,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.7004405286343612,0.24081787201817492,0.3584108199492815,0.27719665271966526,0.4943869638912591,2641.0
Discontinuous urban fabric,0.809119170984456,0.4961870869344179,0.6151422043646104,0.5377854919139323,0.7219369829728701,15736.0
Industrial or commercial units,0.649171270718232,0.16737891737891739,0.26613816534541335,0.196554031448645,0.36439157850646153,2808.0
Road and rail networks and associated land,0.2857142857142857,0.011764705882352941,0.022598870056497175,0.014556040756914117,0.0738857099910443,510.0
Port areas,0.7142857142857143,0.1875,0.297029702970297,0.21994134897360706,0.3465530887011573,80.0
Airports,0.0,0.0,0.0,0.0,0.019018383228229904,137.0
Mineral extraction sites,0.0,0.0,0.0,0.0,0.04391109555634984,478.0
Dump sites,0.0,0.0,0.0,0.0,0.011651735614462781,83.0
Construction sites,0.0,0.0,0.0,0.0,0.008101113715123566,159.0
Green urban areas,0.40425531914893614,0.06551724137931035,0.11275964391691395,0.07870753935376969,0.20575959530255744,290.0
Sport and leisure facilities,0.5,0.0016556291390728477,0.003300330033003301,0.0020678246484698098,0.050296637101983795,604.0
Non-irrigated arable land,0.801669593668054,0.74399964276943,0.7717587660382602,0.7548601640970808,0.8633118529587669,44789.0
Permanently irrigated land,0.5217391304347826,0.021804966686856452,0.04186046511627907,0.026974374344372852,0.24587563154569153,3302.0
Rice fields,0.5,0.007680491551459293,0.0151285930408472,0.00956388676358072,0.08866037115528705,651.0
Vineyards,0.0,0.0,0.0,0.0,0.10879788567891388,2250.0
Fruit trees and berry plantations,0.45161290322580644,0.07977207977207977,0.13559322033898305,0.09549795361527967,0.14566891614943456,702.0
Olive groves,0.5212765957446809,0.016023544800523218,0.03109137055837563,0.01987668343339283,0.2508333048448064,3058.0
Pastures,0.7793094959689827,0.5239139429044269,0.6265865063460254,0.5606620088728316,0.753858133720086,24170.0
Annual crops associated with permanent crops,0.6428571428571429,0.09283667621776505,0.16224336504757136,0.11200221238938053,0.26840295251054225,1745.0
Complex cultivation patterns,0.6766389762011675,0.4702004836570715,0.5548396004970774,0.5007560148876778,0.6478444282360408,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6745433458973615,0.43551104455260203,0.5292913206688659,0.46873111173792154,0.6435767279482046,32052.0
Agro-forestry areas,0.7028493894165536,0.5707202864619199,0.6299308352968003,0.593016599885518,0.7163612721971957,7261.0
Broad-leaved forest,0.7290119819288942,0.543715206563141,0.6228748846186122,0.5728353140916809,0.7374143715487689,34130.0
Coniferous forest,0.8151699851009074,0.7612061115046038,0.7872643792431357,0.7714196356700829,0.8695639159831358,39532.0
Mixed forest,0.7580423293192075,0.736638446565512,0.7471871357548944,0.7408219772548242,0.8117767920810111,42641.0
Natural grassland,0.7282321899736148,0.10317757009345795,0.18074656188605107,0.12455997833739507,0.31158945815911643,2675.0
Moors and heathland,0.6645569620253164,0.08913412563667232,0.15718562874251496,0.10780287474332648,0.21518472171574182,1178.0
Sclerophyllous vegetation,0.6224412433661866,0.30486446342369106,0.40927218344965105,0.3395087254983045,0.4746317751150618,2693.0
Transitional woodland/shrub,0.6448829936374421,0.4954295656016128,0.5603623301577385,0.5195091015446274,0.6515945665189751,36211.0
"Beaches, dunes, sands",0.6142857142857143,0.19457013574660634,0.29553264604810997,0.22536687631027255,0.32716855952708634,221.0
Bare rock,0.4785714285714286,0.15090090090090091,0.2294520547945206,0.17484342379958245,0.24892526115312127,444.0
Sparsely vegetated areas,0.4772727272727273,0.12727272727272726,0.20095693779904308,0.14914772727272724,0.1701295376254955,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.0027346062221741806,36.0
Inland marshes,0.8888888888888888,0.005917159763313609,0.011756061719324026,0.00738416097470925,0.0890645965063113,1352.0
Peatbogs,0.752035065748278,0.2986819199204178,0.4275542897828408,0.33963011141903743,0.5020704988520337,4021.0
Salt marshes,0.9444444444444444,0.06563706563706563,0.1227436823104693,0.08064516129032258,0.27671788283725374,259.0
Salines,0.0,0.0,0.0,0.0,0.24982402561779418,105.0
Intertidal flats,0.5,0.005988023952095809,0.011834319526627219,0.007462686567164179,0.1416593955465152,167.0
Water courses,0.666131621187801,0.17872523686477174,0.28183361629881154,0.20936333366965995,0.3976688410404372,2322.0
Water bodies,0.8127385062693077,0.6407593123209169,0.7165745413762717,0.669075187744966,0.8055568460654283,13960.0
Coastal lagoons,0.7183098591549296,0.14697406340057637,0.24401913875598086,0.17477724468814254,0.3780786323835118,347.0
Estuaries,1.0,0.02390438247011952,0.04669260700389105,0.029702970297029705,0.21174030625413479,251.0
Sea and ocean,0.9507937437759943,0.9301965728695054,0.9403823870220163,0.9342443045114945,0.9787055508544109,17449.0
micro avg,0.7603690278171962,0.573109343817949,0.6535907951134553,0.602800238099985,0.7562611441002779,369303.0
macro avg,0.5604951755314325,0.23109250238637413,0.28297509688082806,0.24760117989598573,0.37034615123567416,369303.0
weighted avg,0.7394331559380799,0.573109343817949,0.6308525574029684,0.5938520824464498,0.7247985035225599,369303.0
samples avg,0.7698619393413857,0.6409152155769591,0.6701905404485927,0.6473862891193273,0.819212494645762,369303.0
