,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.714123006833713,0.23741007194244604,0.35635123614663256,0.2739905610907184,0.5170972711497576,2641.0
Discontinuous urban fabric,0.819016804091431,0.4986654804270463,0.6198996721570487,0.5409858669424337,0.7314532908333365,15736.0
Industrial or commercial units,0.6489510489510489,0.16524216524216523,0.2634118648878796,0.19419101029547164,0.37061017393795287,2808.0
Road and rail networks and associated land,0.3181818181818182,0.013725490196078431,0.02631578947368421,0.01697381183317168,0.07272369454535874,510.0
Port areas,0.7894736842105263,0.1875,0.303030303030303,0.22123893805309736,0.34546525360115615,80.0
Airports,0.0,0.0,0.0,0.0,0.021340111248634247,137.0
Mineral extraction sites,0.0,0.0,0.0,0.0,0.05943763438916791,478.0
Dump sites,0.0,0.0,0.0,0.0,0.012213325521405034,83.0
Construction sites,0.0,0.0,0.0,0.0,0.011777377901434483,159.0
Green urban areas,0.4666666666666667,0.04827586206896552,0.0875,0.058823529411764705,0.23906264570751862,290.0
Sport and leisure facilities,0.0,0.0,0.0,0.0,0.054965017431296975,604.0
Non-irrigated arable land,0.8066101368279052,0.7475942753801157,0.7759817383344341,0.7586963220766038,0.8686403817204686,44789.0
Permanently irrigated land,0.6141732283464567,0.023622047244094488,0.045494313210848646,0.029246344206974122,0.25987755147121067,3302.0
Rice fields,0.0,0.0,0.0,0.0,0.09601323973634318,651.0
Vineyards,0.0,0.0,0.0,0.0,0.11673356541916295,2250.0
Fruit trees and berry plantations,0.54,0.07692307692307693,0.1346633416458853,0.09284731774415406,0.15928005595601083,702.0
Olive groves,0.5633802816901409,0.013080444735120994,0.025567273889421538,0.01625619767536373,0.258350731637673,3058.0
Pastures,0.7862107484175251,0.5241621845262723,0.6289842120941317,0.5615990212245332,0.7612812921528932,24170.0
Annual crops associated with permanent crops,0.6458333333333334,0.08882521489971347,0.1561712846347607,0.10734072022160665,0.2798410829778339,1745.0
Complex cultivation patterns,0.6829886741421085,0.47277478742491613,0.5587645499596635,0.5037863988894338,0.6563428870002703,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6806968708005375,0.44249968800698863,0.5363409469066708,0.4757990928853225,0.6499492840793882,32052.0
Agro-forestry areas,0.7101998621640249,0.5676904007712437,0.6309988518943744,0.5914256198347109,0.7230154879865104,7261.0
Broad-leaved forest,0.7381773496650414,0.5456196894227952,0.6274575871422073,0.5756520986478882,0.7438151886320927,34130.0
Coniferous forest,0.8183468342770448,0.7640898512597389,0.7902881885849586,0.774357948923036,0.8723090459690838,39532.0
Mixed forest,0.7622801255382818,0.7347857695645037,0.7482804738249904,0.7401248187010729,0.8143153710286029,42641.0
Natural grassland,0.743455497382199,0.10616822429906542,0.18580307491004253,0.128135715574806,0.3178231386572118,2675.0
Moors and heathland,0.673202614379085,0.08743633276740238,0.15477084898572505,0.10585817060637207,0.23353754158665135,1178.0
Sclerophyllous vegetation,0.626984126984127,0.29335313776457483,0.3996964330887933,0.3282912234042554,0.4834570756551839,2693.0
Transitional woodland/shrub,0.6467518248175183,0.4893816796001215,0.5571677854459135,0.514415596479413,0.6545217229707178,36211.0
"Beaches, dunes, sands",0.6825396825396826,0.19457013574660634,0.3028169014084507,0.22703273495248152,0.37062496052102717,221.0
Bare rock,0.44516129032258067,0.1554054054054054,0.23038397328881471,0.17866390471258414,0.2570427933779717,444.0
Sparsely vegetated areas,0.5263157894736842,0.12121212121212122,0.19704433497536944,0.14326647564469913,0.19431012926198754,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.0029976603800161016,36.0
Inland marshes,0.9,0.006656804733727811,0.013215859030837005,0.008305647840531562,0.09472178036295674,1352.0
Peatbogs,0.7402439024390244,0.30191494653071377,0.4288994877230171,0.34247348228390884,0.5133303781162415,4021.0
Salt marshes,0.8,0.06177606177606178,0.11469534050179213,0.07575757575757576,0.29880570771823156,259.0
Salines,0.0,0.0,0.0,0.0,0.26597636259295643,105.0
Intertidal flats,0.0,0.0,0.0,0.0,0.19545763560414994,167.0
Water courses,0.7348754448398577,0.17786391042204996,0.28640776699029125,0.20964467005076143,0.42761553902466093,2322.0
Water bodies,0.8193143584613986,0.6454154727793696,0.7220419120887926,0.674027858820713,0.8155052773611162,13960.0
Coastal lagoons,0.6933333333333334,0.14985590778097982,0.24644549763033174,0.17771701982228297,0.4225568009701412,347.0
Estuaries,1.0,0.027888446215139442,0.05426356589147287,0.03461918892185954,0.24303976207104383,251.0
Sea and ocean,0.9538805005581341,0.9304831222419623,0.9420365535248042,0.935070320328968,0.9834829929929128,17449.0
micro avg,0.7659326209622067,0.574127477978787,0.6563033468756044,0.6043982043677602,0.7622615056036075,369303.0
macro avg,0.537008577666703,0.23027600486768804,0.2825858363558685,0.24689802799671093,0.3830399586339475,369303.0
weighted avg,0.7443307853214948,0.574127477978787,0.6333580905876688,0.5953951258149313,0.7309239663280953,369303.0
samples avg,0.7738607687843385,0.6419480158919324,0.6723604378908433,0.6488848770054199,0.8229848220571347,369303.0
