,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.8136011275546159,0.5151717983043285,0.6308743169398907,0.5559568525474333,0.7424816806754357,17928.0
Industrial or commercial units,0.6824953445065177,0.26103988603988604,0.377640391550747,0.297822200552576,0.4417590546068515,2808.0
Arable land,0.8010407975055992,0.7737221633085896,0.7871445216415656,0.7790357987887692,0.875695297603583,47150.0
Permanent crops,0.676278563656148,0.18247210804462713,0.28739884393063586,0.21367668294024614,0.4296820168858342,6812.0
Pastures,0.7913770834614675,0.5323541580471659,0.6365232877389992,0.5696437900105368,0.7643147409652657,24170.0
Complex cultivation patterns,0.6794342633867151,0.48155082299711366,0.5636284781665868,0.5113358680615956,0.6489958659706845,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6650586979722519,0.4860539123923624,0.5616381563530832,0.5137074383544478,0.6491592776286083,32052.0
Agro-forestry areas,0.7435697583787997,0.5255474452554745,0.6158315177923022,0.5582865168539326,0.730085827970923,7261.0
Broad-leaved forest,0.7360960107050264,0.5157632581306768,0.6065398663083179,0.5486056571549671,0.7322296969290725,34130.0
Coniferous forest,0.8106855330568431,0.7565263583932005,0.7826701385708492,0.7667714427824982,0.8622307651145383,39532.0
Mixed forest,0.7521768412950401,0.7333552215004339,0.7426467968889152,0.7370438111040926,0.802145797046482,42641.0
Natural grassland and sparsely vegetated areas,0.6533066132264529,0.11647016791711326,0.19769557307459068,0.1393758016246259,0.3402675201803082,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6123759486281378,0.27183208084996113,0.3765254845656856,0.3058487375357164,0.4426092069768397,3859.0
"Transitional woodland, shrub",0.622459042468586,0.5403606638866643,0.5785116636608225,0.5550008792879471,0.642926306676636,36211.0
"Beaches, dunes, sands",0.41015625,0.4751131221719457,0.440251572327044,0.4605263157894737,0.4109984970750293,221.0
Inland wetlands,0.6579698328577253,0.30173864273696016,0.41374006664957697,0.33837896767160053,0.4434304210250566,5349.0
Coastal wetlands,0.8648648648648649,0.1032258064516129,0.1844380403458213,0.12529365700861395,0.3210679014906484,310.0
Inland waters,0.8499963270403291,0.7152747728256166,0.7768378650553878,0.7386907725897269,0.8547932947926833,16177.0
Marine waters,0.9594268052823827,0.9472895744326694,0.9533195599977664,0.94969239155829,0.9855295823661547,18023.0
micro avg,0.7591791735074563,0.6126046971528984,0.6780612276005878,0.6372098779721267,0.7808860753018232,363071.0
macro avg,0.7253878792551318,0.4860453665098106,0.5533608495557152,0.5086680832745837,0.6379159343147702,363071.0
weighted avg,0.752022507596144,0.6126046971528984,0.6668958152185034,0.6322069490850797,0.7529190075175757,363071.0
samples avg,0.7818707707289612,0.6735692140722093,0.6931837621785661,0.6756960831460447,0.8398747154417789,363071.0
