,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.4283690455108907,0.8095716198125836,0.5602779386218877,0.6872549576680492,0.5516485431952504,17928.0
Industrial or commercial units,0.3041314086610254,0.4351851851851852,0.3580427776150015,0.4006557377049181,0.2942690656515433,2808.0
Arable land,0.5432160013552267,0.9521314952279958,0.6917630380683089,0.8275420932521761,0.8212627894046567,47150.0
Permanent crops,0.2623256972111554,0.6186142102172637,0.368421052631579,0.48647026228297013,0.327365743438854,6812.0
Pastures,0.42445084981612163,0.8834091849400083,0.5734004699563612,0.7263326189747252,0.6998485960233872,24170.0
Complex cultivation patterns,0.4130663093470467,0.8897729932131991,0.5642065690542145,0.7229144747683455,0.573551498333532,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.38914596525409967,0.8973230999625609,0.5428652321630804,0.7114973579528587,0.573432169309507,32052.0
Agro-forestry areas,0.4845832042144407,0.8614515906899876,0.6202588130298974,0.7454948512585813,0.623875727921306,7261.0
Broad-leaved forest,0.4116309758678809,0.9230881922062701,0.5693657549224249,0.7393561347432847,0.6715954187111458,34130.0
Coniferous forest,0.5616177441899759,0.9248962865526662,0.6988674917570602,0.8189498770332078,0.8328306518267232,39532.0
Mixed forest,0.5312768240343347,0.9289650805562721,0.6759669286098242,0.8079992167229646,0.7310817033398752,42641.0
Natural grassland and sparsely vegetated areas,0.21800358967278752,0.564130046445159,0.31447918741286596,0.4281685557785129,0.2762428816115071,2799.0
"Moors, heathland and sclerophyllous vegetation",0.3620716879835781,0.5941953874060637,0.44996075353218207,0.5266663604207817,0.40840946539843126,3859.0
"Transitional woodland, shrub",0.4177472348323343,0.9199414542542321,0.5745776305917052,0.7416312682001548,0.5410801669889709,36211.0
"Beaches, dunes, sands",0.00752022846263684,0.3574660633484163,0.014730561253030022,0.03468258846255159,0.007437295136431246,221.0
Inland wetlands,0.333291409885549,0.49541970461768553,0.39849624060150374,0.45149419020683546,0.38955762098180036,5349.0
Coastal wetlands,0.034,0.27419354838709675,0.06049822064056939,0.11363636363636365,0.018239749930708194,310.0
Inland waters,0.36766306411197447,0.8979415219138283,0.521711022519125,0.6969112524828004,0.4474304364743572,16177.0
Marine waters,0.904862797788228,0.9715363701936415,0.9370150371916306,0.9574270310466629,0.9816379001681397,18023.0
micro avg,0.4507064018889359,0.8916630631474285,0.5987595238953946,0.7457412147581376,0.6760604870582172,363071.0
macro avg,0.38941968622101514,0.7473280544805324,0.49973182737748695,0.6118465890840392,0.5142524959919015,363071.0
weighted avg,0.47611768665048854,0.8916630631474285,0.6147336033306726,0.7525320553177705,0.6670349422010778,363071.0
samples avg,0.4588352153137322,0.913098835395365,0.582242034583542,0.7243562234111313,0.8420748699472966,363071.0
