,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.6791778373547811,0.28776978417266186,0.40425531914893614,0.32525892322177524,0.5133881198996009,2641.0
Discontinuous urban fabric,0.800985771412629,0.5473436705643111,0.650307674883914,0.5843521445920459,0.7526000810688656,15736.0
Industrial or commercial units,0.6544175136825645,0.2980769230769231,0.4095913873256667,0.3345056350411638,0.43593907050244973,2808.0
Road and rail networks and associated land,0.3,0.029411764705882353,0.05357142857142857,0.03588516746411483,0.07975664493823356,510.0
Port areas,0.5428571428571428,0.2375,0.3304347826086957,0.26760563380281693,0.26338559318701427,80.0
Airports,0.5,0.014598540145985401,0.028368794326241134,0.018115942028985504,0.049435226262075076,137.0
Mineral extraction sites,0.4393939393939394,0.060669456066945605,0.10661764705882354,0.07330637007077856,0.08594603824747712,478.0
Dump sites,0.0,0.0,0.0,0.0,0.03320476103892267,83.0
Construction sites,0.0,0.0,0.0,0.0,0.009879165694821111,159.0
Green urban areas,0.2876712328767123,0.07241379310344828,0.11570247933884299,0.08515815085158152,0.19573576789676878,290.0
Sport and leisure facilities,0.3333333333333333,0.004966887417218543,0.009787928221859706,0.006185567010309277,0.07545673597699859,604.0
Non-irrigated arable land,0.7915481702587727,0.7519256960414388,0.7712283594394064,0.759529641006211,0.8587716186730409,44789.0
Permanently irrigated land,0.49053627760252366,0.09418534221683827,0.15802845528455287,0.11233925733275538,0.2834762936537034,3302.0
Rice fields,0.46153846153846156,0.055299539170506916,0.09876543209876544,0.06711409395973156,0.13726605554285323,651.0
Vineyards,0.23076923076923078,0.004,0.007863695937090433,0.004978426817125788,0.11567838517053106,2250.0
Fruit trees and berry plantations,0.5555555555555556,0.014245014245014245,0.02777777777777778,0.017692852087756544,0.15692871899592647,702.0
Olive groves,0.5555555555555556,0.03597122302158273,0.06756756756756756,0.04424778761061947,0.26893132653736496,3058.0
Pastures,0.7831635710005992,0.5407943731899049,0.6397944199706315,0.5764752580047633,0.7636085047575936,24170.0
Annual crops associated with permanent crops,0.6419753086419753,0.08939828080229226,0.15694164989939635,0.10798837048317875,0.2649376190349527,1745.0
Complex cultivation patterns,0.6835149422807206,0.4942273188236212,0.5736599058312206,0.5232058799240235,0.6514651594940428,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6761850641663115,0.4454948209160115,0.5371174932761571,0.4781181985601875,0.644993652667219,32052.0
Agro-forestry areas,0.7078231292517007,0.5731992838452004,0.6334373335362605,0.5958653075249112,0.7195052423575858,7261.0
Broad-leaved forest,0.7071651090342679,0.5653384119542925,0.6283481234226167,0.5889624858826042,0.7315839666703103,34130.0
Coniferous forest,0.7978574028810651,0.7761813214610949,0.7868701115527633,0.7804218001281882,0.8619185421672015,39532.0
Mixed forest,0.7611280752712197,0.7190028376445206,0.7394660041967149,0.7270506770376343,0.8037171466517237,42641.0
Natural grassland,0.6951219512195121,0.08523364485981308,0.15184815184815184,0.10337323177366702,0.3163766572290151,2675.0
Moors and heathland,0.5150684931506849,0.15959252971137522,0.24368114063512636,0.1851487098680323,0.2276929905332208,1178.0
Sclerophyllous vegetation,0.5921428571428572,0.3078351281099146,0.4050818470559492,0.3405356556030233,0.485495075952313,2693.0
Transitional woodland/shrub,0.61571165087999,0.5439231172848029,0.5775953079178886,0.5569096265968456,0.6419981594787164,36211.0
"Beaches, dunes, sands",0.4050179211469534,0.5113122171945701,0.452,0.48581255374032684,0.4388817861358839,221.0
Bare rock,0.48,0.1891891891891892,0.27140549273021003,0.21527421834956437,0.28104039475743015,444.0
Sparsely vegetated areas,0.375,0.10909090909090909,0.16901408450704225,0.1271186440677966,0.1883884403750321,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.0054377981440976685,36.0
Inland marshes,0.6666666666666666,0.005917159763313609,0.011730205278592374,0.007380073800738007,0.09729222995394414,1352.0
Peatbogs,0.6577586206896552,0.37950758517781646,0.4813120958839299,0.41458378613344926,0.5132693334727835,4021.0
Salt marshes,0.8372093023255814,0.138996138996139,0.23841059602649003,0.16682113067655235,0.31111306020158813,259.0
Salines,0.0,0.0,0.0,0.0,0.41918508562756784,105.0
Intertidal flats,0.4074074074074074,0.1317365269461078,0.1990950226244344,0.1523545706371191,0.20534075202069677,167.0
Water courses,0.7045244690674054,0.3285960378983635,0.44816446402349486,0.3678526660881304,0.5072429442898105,2322.0
Water bodies,0.8137246727257567,0.6990687679083094,0.7520517859207028,0.7193401441776127,0.8347763080286037,13960.0
Coastal lagoons,0.543046357615894,0.23631123919308358,0.32931726907630526,0.2664067576348278,0.35384640668548617,347.0
Estuaries,0.0,0.0,0.0,0.0,0.2132931715730697,251.0
Sea and ocean,0.94375,0.9519170153017364,0.9478159148620503,0.9502723236761409,0.9799317299416439,17449.0
micro avg,0.7481729795353247,0.5940704516345656,0.6622754852537205,0.6195942385236739,0.7576943896498581,369303.0
macro avg,0.5263791394129634,0.26721491835374744,0.3166052825503651,0.28310575961086254,0.3901886456160042,369303.0
weighted avg,0.7302872017126449,0.5940704516345656,0.6431071154638781,0.6118309542207914,0.7271436814504986,369303.0
samples avg,0.7718307186857074,0.6582593285779611,0.6782681861779871,0.6603942748706343,0.8229172568215333,369303.0
