,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.5502183406113537,0.2862552063612268,0.376587795765878,0.31663595242084097,0.38050721300633056,2641.0
Discontinuous urban fabric,0.7671079201256451,0.21727249618708694,0.3386321992769772,0.2536312517618433,0.6019881269486014,15736.0
Industrial or commercial units,0.5,0.00035612535612535614,0.0007117437722419928,0.0004450774434751647,0.20972679066427963,2808.0
Road and rail networks and associated land,0.0,0.0,0.0,0.0,0.031229403071821142,510.0
Port areas,0.0,0.0,0.0,0.0,0.0342317034007894,80.0
Airports,0.0,0.0,0.0,0.0,0.021878475071130173,137.0
Mineral extraction sites,0.5,0.0041841004184100415,0.008298755186721992,0.005219206680584551,0.039436701101107176,478.0
Dump sites,0.0,0.0,0.0,0.0,0.007660868332292477,83.0
Construction sites,0.0,0.0,0.0,0.0,0.009600531583702674,159.0
Green urban areas,0.0,0.0,0.0,0.0,0.12125139596126856,290.0
Sport and leisure facilities,0.0,0.0,0.0,0.0,0.033628652212850656,604.0
Non-irrigated arable land,0.7623904248145651,0.6058407198195985,0.6751595526305968,0.631787024791849,0.7745681940518159,44789.0
Permanently irrigated land,0.3815261044176707,0.02877044215626893,0.053506054632497885,0.035297614624359076,0.22016590698801122,3302.0
Rice fields,0.30434782608695654,0.021505376344086023,0.04017216642754663,0.026415094339622643,0.07546917027264832,651.0
Vineyards,0.0,0.0,0.0,0.0,0.09972087957321826,2250.0
Fruit trees and berry plantations,0.0,0.0,0.0,0.0,0.06463937254409208,702.0
Olive groves,0.4069264069264069,0.030739045127534337,0.05716023107327455,0.03771162641418598,0.19763331131073794,3058.0
Pastures,0.6784553115254462,0.42304509722796857,0.5211386050304528,0.4574903132857872,0.6449720621285921,24170.0
Annual crops associated with permanent crops,0.0,0.0,0.0,0.0,0.1688301052795327,1745.0
Complex cultivation patterns,0.6169501641301104,0.4031905764880256,0.48767485198027977,0.43321012178665125,0.574402400531944,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.5893514707793615,0.42443529264944463,0.49347964088147284,0.4495971340000397,0.5524445252449499,32052.0
Agro-forestry areas,0.6305778032036613,0.6072166368268833,0.6186767698028486,0.6117493617493617,0.6548381104494091,7261.0
Broad-leaved forest,0.6685050371350835,0.532727805449751,0.5929428645969215,0.5552840860504038,0.6869882800887055,34130.0
Coniferous forest,0.7861440453017166,0.6742638874835576,0.7259184618317492,0.6940177260276825,0.8024362093176747,39532.0
Mixed forest,0.7401047964530432,0.6459276283389226,0.6898166700060108,0.662795566443192,0.752251585740427,42641.0
Natural grassland,0.3713892709766162,0.10093457943925234,0.15873015873015875,0.1181412444211079,0.21276092707825336,2675.0
Moors and heathland,0.3888888888888889,0.005942275042444821,0.011705685618729098,0.007399577167019028,0.11141680832252544,1178.0
Sclerophyllous vegetation,0.594488188976378,0.11214259190493873,0.18869103405185883,0.13386524822695034,0.3825203992873284,2693.0
Transitional woodland/shrub,0.5398760856649787,0.5269945596641904,0.5333575561083318,0.5295214522367931,0.522757284946028,36211.0
"Beaches, dunes, sands",0.5,0.004524886877828055,0.008968609865470854,0.005643340857787811,0.1127610872256834,221.0
Bare rock,0.019809825673534072,0.05630630630630631,0.029308323563892142,0.0411454904542462,0.03504628641218881,444.0
Sparsely vegetated areas,0.125,0.006060606060606061,0.011560693641618497,0.0074850299401197605,0.07220266834983097,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.003759742287641736,36.0
Inland marshes,0.0,0.0,0.0,0.0,0.06391534607464151,1352.0
Peatbogs,0.5965156794425087,0.21288236757025616,0.31378299120234604,0.2443061818596952,0.35513753422459887,4021.0
Salt marshes,0.9047619047619048,0.07335907335907337,0.13571428571428573,0.08987701040681173,0.2416634372298958,259.0
Salines,0.0,0.0,0.0,0.0,0.09888843485820674,105.0
Intertidal flats,0.05056179775280899,0.05389221556886228,0.052173913043478265,0.053191489361702135,0.027410457211422677,167.0
Water courses,0.7796610169491526,0.03962101636520241,0.07540983606557378,0.04890495428449926,0.33618696742517096,2322.0
Water bodies,0.5480769230769231,0.6328796561604585,0.5874335106382979,0.6138827126181213,0.4408827433814036,13960.0
Coastal lagoons,0.048818897637795275,0.3573487031700288,0.08590232074818151,0.15784114052953158,0.08282275871315242,347.0
Estuaries,0.0,0.0,0.0,0.0,0.018852400433149376,251.0
Sea and ocean,0.9540510127531883,0.8746059946128718,0.9126027806847062,0.8894185938082806,0.9722214628778745,17449.0
micro avg,0.6776990439812052,0.5073232548882625,0.5802633168257035,0.534182295310808,0.6479383863153125,369303.0
macro avg,0.3559187242805976,0.18519128531016768,0.20430739680400933,0.1886490842788964,0.27562108653988204,369303.0
weighted avg,0.6624972269412952,0.5073232548882625,0.5594736279690858,0.5258460162880632,0.633794867592027,369303.0
samples avg,0.5773444497158606,0.5780285452228232,0.5416966456742885,0.5540424735244265,0.8230869320479091,369303.0
