,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.702920443101712,0.2642938280954184,0.38414969730324716,0.30198148308384526,0.5133146770631103,2641.0
Discontinuous urban fabric,0.8089922163047931,0.5019700050838841,0.6195294117647059,0.5432001980524839,0.7244879496343576,15736.0
Industrial or commercial units,0.6485013623978202,0.16951566951566951,0.26877470355731226,0.19889687447768678,0.36654573567738535,2808.0
Road and rail networks and associated land,0.28,0.013725490196078431,0.02616822429906542,0.01694915254237288,0.0697245571540578,510.0
Port areas,0.5,0.05,0.09090909090909091,0.06097560975609757,0.3047519160796003,80.0
Airports,0.0,0.0,0.0,0.0,0.026605760845351697,137.0
Mineral extraction sites,0.0,0.0,0.0,0.0,0.04596219646677013,478.0
Dump sites,0.0,0.0,0.0,0.0,0.016842739766483157,83.0
Construction sites,0.0,0.0,0.0,0.0,0.01117000103912268,159.0
Green urban areas,0.45,0.06206896551724138,0.1090909090909091,0.075,0.2321386071592109,290.0
Sport and leisure facilities,0.0,0.0,0.0,0.0,0.054884039305909266,604.0
Non-irrigated arable land,0.80424647938356,0.7433744892719194,0.772613356847821,0.7548003899254154,0.865271767864582,44789.0
Permanently irrigated land,0.5632183908045977,0.029678982434887948,0.05638665132336018,0.03661635032132716,0.2578044155863318,3302.0
Rice fields,0.6,0.004608294930875576,0.009146341463414635,0.005749329244921426,0.09159152416653246,651.0
Vineyards,0.5,0.00044444444444444447,0.0008880994671403197,0.0005554321261941791,0.1119023441787847,2250.0
Fruit trees and berry plantations,0.5,0.0811965811965812,0.13970588235294118,0.0975359342915811,0.16234183695515758,702.0
Olive groves,0.5478260869565217,0.020601700457815567,0.03971005357705641,0.025512270187089986,0.25899668637730466,3058.0
Pastures,0.782199975582957,0.5301613570541994,0.6319786940224897,0.5666802285471689,0.7581790744362117,24170.0
Annual crops associated with permanent crops,0.6259259259259259,0.09684813753581661,0.16774193548387095,0.11655172413793104,0.2703809152215277,1745.0
Complex cultivation patterns,0.6823815722451751,0.4702784928621577,0.5568152954487727,0.5014514934994718,0.6529555939289,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6781321965799402,0.43179832771745913,0.5276300489887725,0.4656264088226784,0.6450022405542294,32052.0
Agro-forestry areas,0.7082340932289894,0.5733370059220493,0.6336859730573102,0.5960426092434569,0.7175643481758598,7261.0
Broad-leaved forest,0.7336919973100202,0.5434222092001172,0.6243835109158545,0.5731494014178085,0.7412169843527432,34130.0
Coniferous forest,0.8156245761562457,0.7605990083982597,0.787151327931725,0.771002035970522,0.8707649030278525,39532.0
Mixed forest,0.7585332882730652,0.7369198658568045,0.7475703902839402,0.7411434501627435,0.8133043785120209,42641.0
Natural grassland,0.7336956521739131,0.10093457943925234,0.17745645744331254,0.12197325623418867,0.3166023010514035,2675.0
Moors and heathland,0.6704545454545454,0.100169779286927,0.17429837518463814,0.1207037643207856,0.22308769083614863,1178.0
Sclerophyllous vegetation,0.651294498381877,0.298923134051244,0.40977347925680835,0.33519320453031315,0.49275667859258865,2693.0
Transitional woodland/shrub,0.6428469344004574,0.49686559332799424,0.5605071730089254,0.5205054619514905,0.6529350210728215,36211.0
"Beaches, dunes, sands",0.6904761904761905,0.26244343891402716,0.380327868852459,0.2995867768595042,0.3700771636138423,221.0
Bare rock,0.45,0.16216216216216217,0.23841059602649006,0.18595041322314051,0.27788510695548024,444.0
Sparsely vegetated areas,0.42857142857142855,0.09090909090909091,0.15000000000000002,0.10791366906474821,0.1802068214424873,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.0031155260715821182,36.0
Inland marshes,0.75,0.006656804733727811,0.013196480938416424,0.008302583025830259,0.08921167840855485,1352.0
Peatbogs,0.7446540880503144,0.2944541158915693,0.422028158973445,0.33495530157293196,0.5062736216447905,4021.0
Salt marshes,0.88,0.08494208494208494,0.15492957746478872,0.10367577756833177,0.2790339135906229,259.0
Salines,0.0,0.0,0.0,0.0,0.24065194244929686,105.0
Intertidal flats,1.0,0.011976047904191617,0.023668639053254437,0.014925373134328358,0.18564066619646616,167.0
Water courses,0.726123595505618,0.2226528854435831,0.34080421885299933,0.2585,0.43249054108512797,2322.0
Water bodies,0.8189908256880734,0.6394699140401147,0.7181818181818181,0.6687893317350915,0.8145169072251781,13960.0
Coastal lagoons,0.7395833333333334,0.20461095100864554,0.32054176072234764,0.23921832884097038,0.4112815906259061,347.0
Estuaries,0.8,0.03187250996015936,0.06130268199233717,0.03944773175542406,0.19803454701834491,251.0
Sea and ocean,0.9533705902899057,0.9385638145452462,0.9459092615588991,0.941488260859567,0.9814663814537157,17449.0
micro avg,0.7627812155053699,0.5744524144130971,0.6553552066182081,0.6042920582111108,0.7594437888860109,369303.0
macro avg,0.5667555880599298,0.23331278516864415,0.2857061894325521,0.25001278163924284,0.3776505416945059,369303.0
weighted avg,0.7445551284293376,0.5744524144130971,0.6329553433416883,0.5954492899119468,0.7281640835378792,369303.0
samples avg,0.7722920464167107,0.6426849958093505,0.6719894579014596,0.6491354037467043,0.8218499467705871,369303.0
