,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.7203389830508474,0.25747822794396064,0.37935843793584384,0.29544664581160934,0.5352218526542551,2641.0
Discontinuous urban fabric,0.8134015345268543,0.505274529740722,0.6233389518247032,0.546693436378388,0.7341315392520508,15736.0
Industrial or commercial units,0.675,0.17307692307692307,0.2755102040816326,0.2033132530120482,0.3813200475606192,2808.0
Road and rail networks and associated land,0.36363636363636365,0.01568627450980392,0.03007518796992481,0.019398642095053348,0.07759226788146253,510.0
Port areas,0.8571428571428571,0.075,0.13793103448275862,0.09174311926605504,0.35831381113781946,80.0
Airports,0.0,0.0,0.0,0.0,0.024998788686656608,137.0
Mineral extraction sites,0.0,0.0,0.0,0.0,0.05616397951520873,478.0
Dump sites,0.0,0.0,0.0,0.0,0.012387859259619802,83.0
Construction sites,0.0,0.0,0.0,0.0,0.014560959912738706,159.0
Green urban areas,0.5,0.07241379310344828,0.12650602409638553,0.08735440931780367,0.25577262177461907,290.0
Sport and leisure facilities,0.0,0.0,0.0,0.0,0.056336604898238,604.0
Non-irrigated arable land,0.8079535839477819,0.7461876800107169,0.7758432574227546,0.7577736360709411,0.8709640665446418,44789.0
Permanently irrigated land,0.6142857142857143,0.02604482132041187,0.04997094712376525,0.03221456397962241,0.2761865034158847,3302.0
Rice fields,0.6666666666666666,0.0030721966205837174,0.006116207951070337,0.0038358266206367465,0.09957156938541226,651.0
Vineyards,0.5,0.00044444444444444447,0.0008880994671403197,0.0005554321261941791,0.12077510961174137,2250.0
Fruit trees and berry plantations,0.525,0.08974358974358974,0.1532846715328467,0.10758196721311473,0.18300659628677352,702.0
Olive groves,0.6285714285714286,0.014388489208633094,0.02813299232736573,0.01788327101284344,0.27388596545837685,3058.0
Pastures,0.7892725030826141,0.5296648738105089,0.6339192869522159,0.56696191319752,0.7656262034780148,24170.0
Annual crops associated with permanent crops,0.6417322834645669,0.09340974212034384,0.1630815407703852,0.11266242742604368,0.2829750883404201,1745.0
Complex cultivation patterns,0.6911756381955058,0.4762852016537951,0.5639533541161528,0.507864813382244,0.6614541834291877,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6888232397833579,0.4364782228878073,0.5343569764332913,0.47098668174901354,0.6529406172665613,32052.0
Agro-forestry areas,0.7158130712191757,0.5716843409998623,0.6356814701378254,0.5956720144648853,0.7261631868972698,7261.0
Broad-leaved forest,0.7433917197452229,0.5471432757105186,0.6303459915611813,0.5776416728532541,0.74839478643268,34130.0
Coniferous forest,0.8207554888858585,0.7612314074673682,0.7898736170715381,0.7724353544531887,0.8748428642133247,39532.0
Mixed forest,0.7633567319879107,0.7344808986656035,0.7486404761620193,0.7400799652160761,0.81708286290445,42641.0
Natural grassland,0.7606837606837606,0.09981308411214954,0.17647058823529413,0.12080354719029954,0.32913236781758476,2675.0
Moors and heathland,0.672514619883041,0.09762308998302208,0.17049666419570053,0.11775547818963754,0.23497189126447143,1178.0
Sclerophyllous vegetation,0.6494057724957555,0.28406981062012626,0.3952467062774477,0.32008368200836823,0.5015772773229044,2693.0
Transitional woodland/shrub,0.6494954278844403,0.4923365828063296,0.5601005340873391,0.5173744725554723,0.6569377252097183,36211.0
"Beaches, dunes, sands",0.6842105263157895,0.23529411764705882,0.3501683501683502,0.2708333333333333,0.39163786662735534,221.0
Bare rock,0.4594594594594595,0.19144144144144143,0.2702702702702703,0.21672616012238652,0.28995775551109915,444.0
Sparsely vegetated areas,0.48484848484848486,0.09696969696969697,0.16161616161616163,0.11544011544011543,0.18776112035282444,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.003813360707071046,36.0
Inland marshes,0.8461538461538461,0.008136094674556213,0.01611721611721612,0.010145729570190002,0.10374893782452013,1352.0
Peatbogs,0.7476459510357816,0.2961949763740363,0.42429640185251155,0.33687842959778247,0.5173253672430043,4021.0
Salt marshes,0.9,0.10424710424710425,0.18685121107266436,0.12664165103189493,0.3035537826907279,259.0
Salines,0.0,0.0,0.0,0.0,0.3073004745437589,105.0
Intertidal flats,1.0,0.011976047904191617,0.023668639053254437,0.014925373134328358,0.2193999330467131,167.0
Water courses,0.7650695517774343,0.2131782945736434,0.33344560458066685,0.24911927528938096,0.45497126382245573,2322.0
Water bodies,0.824543795620438,0.647349570200573,0.7252808988764046,0.6764221556886227,0.8234894511089637,13960.0
Coastal lagoons,0.7722772277227723,0.22478386167146974,0.34821428571428575,0.2619207521826729,0.47893113518600944,347.0
Estuaries,1.0,0.0199203187250996,0.0390625,0.024777006937561942,0.24103562592765435,251.0
Sea and ocean,0.9559484217282221,0.9389649836666858,0.9473805944258125,0.9423132225225745,0.9855542953397448,17449.0
micro avg,0.7694563517349244,0.57548950319927,0.6584860676270428,0.6060441879298741,0.7661200484638224,369303.0
macro avg,0.59764127101865,0.23468576764316817,0.28873245013870186,0.25186649838235253,0.3928318504126654,369303.0
weighted avg,0.7532833930107329,0.57548950319927,0.6358330758594478,0.5971393211276429,0.7351247230100395,369303.0
samples avg,0.7774158534435337,0.643678809083684,0.6747146445857775,0.6508383398742895,0.8263113184226718,369303.0
