,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.24113081250445062,0.944388665774208,0.3841711763838308,0.5964686071008335,0.5172916934115915,17928.0
Industrial or commercial units,0.18986832847522364,0.6727207977207977,0.29615113271145255,0.44591851187384923,0.3808166362681763,2808.0
Arable land,0.39399431146014247,0.995949098621421,0.5646248279096051,0.7628489832254124,0.7885148777563166,47150.0
Permanent crops,0.1726504751847941,0.864063417498532,0.2877958145902601,0.4797848059993479,0.3347801497052285,6812.0
Pastures,0.3186405178979436,0.96934215970211,0.4796208724845954,0.6882461458920849,0.6416890794791489,24170.0
Complex cultivation patterns,0.3135008869013416,0.9788985100241828,0.47490822389584825,0.6871899061367096,0.5371887545078625,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.2761602442345554,0.9934169474603769,0.43217894686836195,0.6538005067616126,0.5238714683470989,32052.0
Agro-forestry areas,0.3907212340988891,0.9348574576504614,0.5511082244052935,0.7311976215610659,0.698468550748662,7261.0
Broad-leaved forest,0.31466434692479966,0.9962496337532962,0.47826820828761923,0.6951156686210533,0.6788802161616905,34130.0
Coniferous forest,0.38070601658322595,0.9791055347566529,0.5482397433445939,0.7449277705285281,0.7848062980181136,39532.0
Mixed forest,0.37071192734470104,0.9926830984263971,0.5398280875376218,0.7432738536314693,0.6771419615796948,42641.0
Natural grassland and sparsely vegetated areas,0.1646756263481002,0.7091818506609503,0.2672860701541776,0.42688172043010747,0.2877492350843744,2799.0
"Moors, heathland and sclerophyllous vegetation",0.23037262713850482,0.7641876133713398,0.35402160864345744,0.5221872011899281,0.4201601579248637,3859.0
"Transitional woodland, shrub",0.32180269937326345,0.988318466764243,0.48551776532674906,0.6988342348323603,0.5484926970132915,36211.0
"Beaches, dunes, sands",0.027918781725888325,0.6968325791855203,0.053686595781767474,0.1203125,0.1397125496677117,221.0
Inland wetlands,0.12868747327917915,0.7315386053467938,0.2188723570869225,0.3776808292956007,0.399248233588203,5349.0
Coastal wetlands,0.13978494623655913,0.5032258064516129,0.21879382889200558,0.33106960950764003,0.2721104337148292,310.0
Inland waters,0.3097645173221551,0.9318785930642269,0.46496923337908486,0.6648349709810009,0.5236870260771138,16177.0
Marine waters,0.8182912154031288,0.980968762137269,0.8922758585884075,0.9434566372814788,0.977759546661541,18023.0
micro avg,0.32342426383461026,0.9682871945156732,0.4848878146001358,0.6922408347602538,0.6612689104671317,363071.0
macro avg,0.2896866836019393,0.8751477683352838,0.42064834611956076,0.5954752676236886,0.5332826087218692,363071.0
weighted avg,0.3501614354385362,0.9682871945156732,0.5053769288172854,0.7023164539880836,0.6462901279196933,363071.0
samples avg,0.3256942056510178,0.9744600487189825,0.4679232002145526,0.6564796483688701,0.8313936153310393,363071.0
