,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.7474747474747475,0.5819946452476573,0.6544359770439365,0.6089575235493925,0.7402539562133865,17928.0
Industrial or commercial units,0.6476906552094522,0.21474358974358973,0.3225461353303022,0.2478829236208172,0.3966438961462484,2808.0
Arable land,0.805644337181745,0.7858748674443267,0.7956368165079503,0.7897507598265933,0.887032600087867,47150.0
Permanent crops,0.5779985283296541,0.2306224310041104,0.3296956977964324,0.26213041446973234,0.43667632129379574,6812.0
Pastures,0.7791238445197222,0.5614398014067026,0.6526077860869984,0.5946694479258876,0.7721174822763438,24170.0
Complex cultivation patterns,0.6861850044598352,0.5101021920586629,0.5851846880103809,0.5376980700758978,0.6689768932706865,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6633481268241973,0.5176276051416449,0.5814976429560309,0.5414145765211886,0.663213267437039,32052.0
Agro-forestry areas,0.7437451133698202,0.5240325024101363,0.6148501252322857,0.5569379391100703,0.7311191773856678,7261.0
Broad-leaved forest,0.7584184405889832,0.5417814239671843,0.6320520927688811,0.5746079887632769,0.7528890600918344,34130.0
Coniferous forest,0.822360953461975,0.7697308509561874,0.7951760002090574,0.7797109619228206,0.8792083946466288,39532.0
Mixed forest,0.7465956586220844,0.7791796627658826,0.7625397335414205,0.7724372983177257,0.8196154752013805,42641.0
Natural grassland and sparsely vegetated areas,0.6050069541029207,0.15541264737406216,0.24729960204661738,0.18254301300881243,0.3395747757719298,2799.0
"Moors, heathland and sclerophyllous vegetation",0.5873452544704264,0.3319512827157295,0.4241721854304636,0.3635692796730431,0.45128941449449334,3859.0
"Transitional woodland, shrub",0.6385635433494884,0.5239568087045373,0.5756109400361027,0.5434645615160751,0.6580802940722896,36211.0
"Beaches, dunes, sands",0.5470085470085471,0.2895927601809955,0.378698224852071,0.31968031968031974,0.374095734203526,221.0
Inland wetlands,0.7001915708812261,0.27332211628341746,0.3931692886916768,0.3112757622210867,0.4476155245455754,5349.0
Coastal wetlands,0.7580645161290323,0.15161290322580645,0.25268817204301075,0.18049155145929338,0.30339808162391696,310.0
Inland waters,0.8267078613113629,0.7443283674352476,0.7833582720707827,0.7594641302839554,0.8621050609457956,16177.0
Marine waters,0.9695938280009077,0.948343782944016,0.9588510841210625,0.9525189478377174,0.9876495920712471,18023.0
micro avg,0.7594842344496818,0.6341624640910456,0.691188655003062,0.6558052231770293,0.7921636637893501,363071.0
macro avg,0.7163719729103225,0.4966131705794683,0.5652668665671298,0.5199581826201951,0.6406081579884028,363071.0
weighted avg,0.7505186081395715,0.6341624640910456,0.6808347274633887,0.6511186592653934,0.765151149549995,363071.0
samples avg,0.7867560966197612,0.6947853398638361,0.71049346585949,0.695744051041291,0.8482780792979879,363071.0
