,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.8040119273515858,0.4963186077643909,0.6137609932747026,0.5374551516689016,0.725083935103719,17928.0
Industrial or commercial units,0.6486486486486487,0.17094017094017094,0.2705749718151071,0.20046775810223857,0.37347738516525464,2808.0
Arable land,0.8080139528643621,0.7664050901378578,0.786659700452804,0.7743804699085384,0.8784420274933671,47150.0
Permanent crops,0.6695945945945946,0.14547856723429242,0.23902556681138445,0.17247981063770534,0.4181132958264188,6812.0
Pastures,0.7828765013858947,0.5258585022755482,0.6291300581611187,0.5628127352433245,0.7587033172466633,24170.0
Complex cultivation patterns,0.6826421235759582,0.47445198533426947,0.5598177508801804,0.5052712031967833,0.6532471539009546,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.679084073820916,0.4339510794958193,0.5295237370084136,0.46771807115475156,0.6455440044672991,32052.0
Agro-forestry areas,0.7043047488896481,0.5678281228480926,0.6287457110179184,0.5907215313198465,0.7158119129865687,7261.0
Broad-leaved forest,0.7364886345573041,0.5430120128918839,0.6251222720680001,0.5731241186511962,0.7415982593188295,34130.0
Coniferous forest,0.8165007886006418,0.7595365779621572,0.7869892275836762,0.7702845532626653,0.8704146485968706,39532.0
Mixed forest,0.759238657250653,0.7362163176285734,0.7475502744407007,0.7407084072633924,0.813161544282879,42641.0
Natural grassland and sparsely vegetated areas,0.6502732240437158,0.12754555198285103,0.21326164874551973,0.15197956577266925,0.3310015870647176,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6314060446780552,0.24902824565949727,0.3571826797992938,0.2833470928175492,0.44560519029352835,3859.0
"Transitional woodland, shrub",0.6457423580786026,0.49004446162768217,0.5572215854673344,0.5148731459344027,0.6527653631799911,36211.0
"Beaches, dunes, sands",0.6753246753246753,0.23529411764705882,0.348993288590604,0.2705515088449531,0.3721008759661084,221.0
Inland wetlands,0.7548076923076923,0.23481024490558983,0.35819192927420507,0.2723330442324371,0.4399104120784666,5349.0
Coastal wetlands,0.8529411764705882,0.0935483870967742,0.1686046511627907,0.11381475667189954,0.30542908022626086,310.0
Inland waters,0.8286864696497759,0.6742906595784138,0.743558282208589,0.7003891050583658,0.8302413495063519,16177.0
Marine waters,0.9623674307218612,0.9364700660267437,0.9492421472961954,0.9415374316635055,0.9836032944135904,18023.0
micro avg,0.7667952007669749,0.5991913427401252,0.6727109401453037,0.6265826649370159,0.781364843258358,363071.0
macro avg,0.7417344064639565,0.45584361942303514,0.5322713934767652,0.48127628744237505,0.6291712966904127,363071.0
weighted avg,0.7569558404997468,0.5991913427401252,0.6589254853890575,0.6206323426150149,0.7537222802417568,363071.0
samples avg,0.787839561801553,0.6639311012038754,0.691193131996844,0.6694626914517674,0.8391504819665817,363071.0
