,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.8140193748857613,0.4968206157965194,0.6170419120193973,0.5388123986739903,0.7359139853178709,17928.0
Industrial or commercial units,0.6808219178082192,0.176994301994302,0.2809496890898813,0.2077411804046146,0.3859010507488517,2808.0
Arable land,0.8130366726296959,0.7711346765641569,0.791531511919016,0.7791659523401336,0.883130664033714,47150.0
Permanent crops,0.6966690290574061,0.1443041691133294,0.23908549191292713,0.1714993544785233,0.42803832452297086,6812.0
Pastures,0.7915072213307,0.5305750930906082,0.6352917863866047,0.5680267890363389,0.7661373159411058,24170.0
Complex cultivation patterns,0.6899272870751367,0.47741633512754506,0.5643283616496462,0.5087577830796473,0.6619675076904659,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6890735761427523,0.43975414950705105,0.5368807968461348,0.4740587772344161,0.6534316643966175,32052.0
Agro-forestry areas,0.717578259373925,0.5745765046136896,0.6381644359464628,0.5984279075104711,0.7275942558351,7261.0
Broad-leaved forest,0.7433441104857702,0.5456489891590975,0.6293361269283408,0.5763029714123028,0.7482853144173787,34130.0
Coniferous forest,0.8206875869025874,0.7614590711322473,0.7899647032580599,0.7726108404728783,0.8749851849192822,39532.0
Mixed forest,0.7636478845778905,0.7348326727797191,0.7489632258912672,0.7404204238265375,0.8171024261417221,42641.0
Natural grassland and sparsely vegetated areas,0.6818181818181818,0.1339764201500536,0.2239474469991042,0.15962880980759409,0.3460767220773253,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6379076086956522,0.24332728686188132,0.35227912211592577,0.27767920511000715,0.45261217574056123,3859.0
"Transitional woodland, shrub",0.6509746230231703,0.4888017453260059,0.5583508146559203,0.5144331934385064,0.6567391468319924,36211.0
"Beaches, dunes, sands",0.6666666666666666,0.26244343891402716,0.3766233766233766,0.29866117404737386,0.3978821633325301,221.0
Inland wetlands,0.7464622641509434,0.23667975322490184,0.35940383250532293,0.2741209076736532,0.4531577757573207,5349.0
Coastal wetlands,0.8974358974358975,0.11290322580645161,0.20057306590257878,0.1368256450351837,0.32666179114010885,310.0
Inland waters,0.8329316059053932,0.6835630833899982,0.7508912504668456,0.708991588018055,0.8405252495706523,16177.0
Marine waters,0.9655251272082785,0.9370249126116629,0.9510615531902912,0.9425895538215957,0.9869081163939499,18023.0
micro avg,0.7730731120390686,0.6016867224317007,0.6766968532535379,0.6296026662608712,0.787507220723011,363071.0
macro avg,0.7526334155354752,0.4606440234296447,0.539193079174058,0.4867765502853591,0.6391079386741852,363071.0
weighted avg,0.7638033455898919,0.6016867224317007,0.6628760192289557,0.6236376268966844,0.7602182396391002,363071.0
samples avg,0.7930941863342194,0.6662679086274419,0.6947751334730344,0.6722964072202726,0.843003554013764,363071.0
