,precision,recall,f1-score,f2-score,ap-score,support
Continuous urban fabric,0.6666666666666666,0.31351760696705794,0.4264743754828741,0.35066915127901066,0.5042160506175477,2641.0
Discontinuous urban fabric,0.8243793243793244,0.5148703609557702,0.6338601157878266,0.5566701478590667,0.7498427750892063,15736.0
Industrial or commercial units,0.6798319327731093,0.2881054131054131,0.40470235117558784,0.3256319433263565,0.44450387521776424,2808.0
Road and rail networks and associated land,0.2,0.00784313725490196,0.01509433962264151,0.009708737864077669,0.07740739903898797,510.0
Port areas,0.6666666666666666,0.025,0.04819277108433735,0.030959752321981424,0.31024026129622356,80.0
Airports,0.0,0.0,0.0,0.0,0.08740772188404922,137.0
Mineral extraction sites,0.6111111111111112,0.02301255230125523,0.04435483870967742,0.02849740932642487,0.0947640772991979,478.0
Dump sites,0.0,0.0,0.0,0.0,0.06667345527743303,83.0
Construction sites,0.0,0.0,0.0,0.0,0.00875678960749751,159.0
Green urban areas,0.32142857142857145,0.12413793103448276,0.17910447761194032,0.14150943396226415,0.2174332840681131,290.0
Sport and leisure facilities,0.5,0.004966887417218543,0.009836065573770493,0.006193228736581339,0.09262571937366533,604.0
Non-irrigated arable land,0.7988900004763947,0.7488222554645114,0.7730462942688225,0.7583273792835243,0.8582616194925659,44789.0
Permanently irrigated land,0.5375375375375375,0.054209569957601456,0.0984869325997249,0.06609556162764937,0.27349609343841114,3302.0
Rice fields,0.39097744360902253,0.07987711213517665,0.13265306122448978,0.09499451954694921,0.13947012213010437,651.0
Vineyards,0.4,0.0026666666666666666,0.005298013245033113,0.0033277870216306153,0.12710791931681512,2250.0
Fruit trees and berry plantations,0.0,0.0,0.0,0.0,0.16892870399568521,702.0
Olive groves,0.5944055944055944,0.02779594506213211,0.053108403623867546,0.03434343434343434,0.2691757175716956,3058.0
Pastures,0.769119852347445,0.5517170045510964,0.6425267418328997,0.5847760879861075,0.759537032969772,24170.0
Annual crops associated with permanent crops,0.6772486772486772,0.07335243553008595,0.1323681489141675,0.08927325986887989,0.2826150367252217,1745.0
Complex cultivation patterns,0.6645690411100221,0.5025352991653015,0.5723042754025541,0.5282969353529224,0.6493085815054708,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.6682064493204228,0.4693622862847872,0.5514056372099843,0.4990645028595692,0.6490379336738848,32052.0
Agro-forestry areas,0.7081705729166666,0.599228756369646,0.6491607609101081,0.6182505399568033,0.7328488239699676,7261.0
Broad-leaved forest,0.703544923985878,0.5721945502490478,0.6311078076525336,0.5943887799948867,0.729319965960394,34130.0
Coniferous forest,0.8117563970228717,0.7559445512496206,0.7828569931627066,0.7664843902288887,0.8662645026939331,39532.0
Mixed forest,0.7475013150973172,0.7331441570319646,0.7402531285888495,0.7359712975431526,0.8006934118205181,42641.0
Natural grassland,0.6529850746268657,0.1308411214953271,0.21800062285892244,0.15574937700249197,0.33032374556359967,2675.0
Moors and heathland,0.6387665198237885,0.1230899830220713,0.20640569395017794,0.14679084834986836,0.23309036968108648,1178.0
Sclerophyllous vegetation,0.7021857923497268,0.0954326030449313,0.16802876757110166,0.11537080265756866,0.48997493982619866,2693.0
Transitional woodland/shrub,0.6317910970907816,0.4977769186158902,0.556834154554301,0.5198299629702262,0.6399180842886596,36211.0
"Beaches, dunes, sands",0.5325443786982249,0.4072398190045249,0.46153846153846156,0.4273504273504274,0.45270461716817395,221.0
Bare rock,0.38095238095238093,0.1981981981981982,0.2607407407407408,0.2192326856003986,0.2619770415222469,444.0
Sparsely vegetated areas,0.39823008849557523,0.2727272727272727,0.3237410071942446,0.2910737386804657,0.2202051577754919,165.0
Burnt areas,0.0,0.0,0.0,0.0,0.009175496439172112,36.0
Inland marshes,0.6818181818181818,0.011094674556213017,0.021834061135371174,0.013812154696132594,0.09020715217721562,1352.0
Peatbogs,0.7058217413704276,0.3407112658542651,0.45957732304595766,0.3800277392510402,0.518749268490894,4021.0
Salt marshes,0.9166666666666666,0.1274131274131274,0.223728813559322,0.15391791044776118,0.3096461618885381,259.0
Salines,0.0,0.0,0.0,0.0,0.3253336647060603,105.0
Intertidal flats,0.5238095238095238,0.19760479041916168,0.28695652173913044,0.22571819425444595,0.2420801941548365,167.0
Water courses,0.7445026178010471,0.3062015503875969,0.4339334757400061,0.3470662891730938,0.5056670062368704,2322.0
Water bodies,0.8051617014497371,0.7240687679083094,0.7624651127706117,0.7389537093897125,0.8369261302348188,13960.0
Coastal lagoons,0.6030534351145038,0.2276657060518732,0.3305439330543933,0.2600394996708361,0.38248591665378984,347.0
Estuaries,0.6842105263157895,0.05179282868525897,0.09629629629629631,0.0635386119257087,0.18903700602699594,251.0
Sea and ocean,0.9489342300239371,0.9542094102813915,0.9515645092156023,0.9531496874355979,0.9805732706961945,17449.0
micro avg,0.7509038322487346,0.5905313523042055,0.6611310939425494,0.6168811331706308,0.7584017349049358,369303.0
macro avg,0.5463592101048944,0.2590319189864919,0.30903220996858227,0.2752338585847892,0.39483749064104584,369303.0
weighted avg,0.7337390487057394,0.5905313523042055,0.6404019603222098,0.6086055379152772,0.7273267106103889,369303.0
samples avg,0.775482088661184,0.6552655677655678,0.6788843931753852,0.6589880512228972,0.8221219991114253,369303.0
