,precision,recall,f1-score,f2-score,ap-score,support
Urban fabric,0.7678841843842752,0.7071062025881303,0.7362429944536399,0.7184797270491153,0.8268192280510123,17928.0
Industrial or commercial units,0.6913659793814433,0.3821225071225071,0.49220183486238533,0.41966520650813516,0.5272872915356691,2808.0
Arable land,0.8642036084377385,0.744644750795334,0.7999817719903847,0.7658347402356616,0.9089391619021049,47150.0
Permanent crops,0.6944444444444444,0.24955960070463887,0.367170626349892,0.2862338362068966,0.51783053108063,6812.0
Pastures,0.7569703728846433,0.6458833264377327,0.697028553568638,0.665413501785973,0.8070651402537866,24170.0
Complex cultivation patterns,0.7290370214112435,0.5391996255558156,0.6199103139013453,0.5688233454581365,0.7241256930112838,25638.0
"Land principally occupied by agriculture, with significant areas of natural vegetation",0.7214370104581456,0.5143828778235368,0.6005646116018578,0.5457067012663758,0.713595865460626,32052.0
Agro-forestry areas,0.7962697274031564,0.6114860212091998,0.6917504089740594,0.6412478336221836,0.8080793369568908,7261.0
Broad-leaved forest,0.7677824267782427,0.6021681804863757,0.6749646950638774,0.6293175248640438,0.7853173156737366,34130.0
Coniferous forest,0.8062585371911088,0.821208135181625,0.8136646741105555,0.8181740283175313,0.886887173073694,39532.0
Mixed forest,0.7501943172985578,0.8148495579371966,0.7811864159088099,0.8010420509037255,0.8390672006400592,42641.0
Natural grassland and sparsely vegetated areas,0.5059055118110236,0.2754555198285102,0.35669673837612764,0.30306603773584906,0.3706931594976786,2799.0
"Moors, heathland and sclerophyllous vegetation",0.6237244897959183,0.38015029800466443,0.47238769924327806,0.41235664492916574,0.5296524071038486,3859.0
"Transitional woodland, shrub",0.6496657815218386,0.5878048106928834,0.6171890857424537,0.5992162471073775,0.6916306465819607,36211.0
"Beaches, dunes, sands",0.463768115942029,0.4343891402714932,0.4485981308411215,0.43996333638863433,0.4259487775878712,221.0
Inland wetlands,0.7057090239410682,0.3581977939801832,0.4751984126984127,0.39732901994940073,0.5414792588732517,5349.0
Coastal wetlands,0.8225806451612904,0.16451612903225807,0.27419354838709675,0.195852534562212,0.3887498588813621,310.0
Inland waters,0.8972216113188183,0.7565679668665389,0.820913542155745,0.7810565546465174,0.9041561852851144,16177.0
Marine waters,0.9539165426382228,0.9601620152027964,0.9570290897024666,0.9589063867986212,0.9866847114248701,18023.0
micro avg,0.7767151740659565,0.6715325652558315,0.7203042948410207,0.6902266349901596,0.8213942477447046,363071.0
macro avg,0.7351757553791163,0.5552554978800748,0.6156249025227446,0.5761939609650292,0.6938952075197605,363071.0
weighted avg,0.7721123206370532,0.6715325652558315,0.7126760902656286,0.6865058065318215,0.800912206710743,363071.0
samples avg,0.8053327972378788,0.7265570729162962,0.7378272735744174,0.725840562573283,0.8681496122980348,363071.0
